Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
Photosynthesis.photophosphorylation.cytochrome b6/f complex	0.00011617100371747211	1	0.0004756921320521359	40	False
Photosynthesis.photorespiration.hydroxypyruvate reductase activities	0.001045539033457249	9	0.00020216915612215775	17	True
Photosynthesis.CAM/C4 photosynthesis.carbon dioxide-bicarbonate equilibrium	0.00023234200743494423	2	0.0005232613452573494	44	False
Cellular respiration.glycolysis.cytosolic glycolysis	0.0025557620817843866	22	0.0009394919608029683	79	True
Cellular respiration.glycolysis.methylglyoxal/glyoxal degradation	0.00023234200743494423	2	0.0003210921891351917	27	False
Cellular respiration.tricarboxylic acid cycle.2-oxoglutarate dehydrogenase complex	0.00023234200743494423	2	0.00021406145942346114	18	True
Cellular respiration.tricarboxylic acid cycle.succinate dehydrogenase complex	0.0008131970260223048	7	0.0004400152221482257	37	True
Cellular respiration.tricarboxylic acid cycle.regulatory enol-oxaloacetate tautomerase *(FAHD1)	0.0005808550185873606	5	0.00011892303301303397	10	True
Cellular respiration.oxidative phosphorylation.NADH dehydrogenase complex	0.0013940520446096654	12	0.001771953191894206	149	False
Cellular respiration.oxidative phosphorylation.alternative NAD(P)H dehydrogenase activities	0.0009293680297397769	8	0.0004043383122443155	34	True
Cellular respiration.oxidative phosphorylation.cytochrome c reductase complex	0.00023234200743494423	2	0.0007373228046808106	62	False
Cellular respiration.oxidative phosphorylation.cytochrome c hemoprotein activity	0.00023234200743494423	2	0.0003805537056417087	32	False
Cellular respiration.oxidative phosphorylation.cytochrome c oxidase complex	0.0006970260223048327	6	0.0008800304442964514	74	False
Cellular respiration.oxidative phosphorylation.ATP synthase complex	0.00011617100371747211	1	0.0009632765674055751	81	False
Carbohydrate metabolism.sucrose metabolism.biosynthesis	0.00046468401486988845	4	0.0006659689848729902	56	False
Carbohydrate metabolism.sucrose metabolism.degradation	0.0005808550185873606	5	0.0011178765103225193	94	False
Carbohydrate metabolism.starch metabolism.biosynthesis	0.00046468401486988845	4	0.0009513842641042718	80	False
Carbohydrate metabolism.starch metabolism.degradation	0.0006970260223048327	6	0.0010108457806107887	85	False
Carbohydrate metabolism.trehalose metabolism.trehalose-6-phosphate synthase	0.00034851301115241634	3	7.135381980782038e-05	6	True
Carbohydrate metabolism.trehalose metabolism.trehalase	0.00023234200743494423	2	2.3784606602606793e-05	2	True
Carbohydrate metabolism.oligosaccharide metabolism.alkaline alpha-galactosidase *(RFS2)	0.0006970260223048327	6	7.135381980782038e-05	6	True
Carbohydrate metabolism.oligosaccharide metabolism.alpha-galactosidase *(AGAL)	0.00034851301115241634	3	0.00019027685282085435	16	True
Carbohydrate metabolism.mannose metabolism.phosphosugar phosphatase	0.00023234200743494423	2	8.324612310912378e-05	7	True
Carbohydrate metabolism.galactose metabolism.D-galactokinase	0.00023234200743494423	2	2.3784606602606793e-05	2	True
Carbohydrate metabolism.oxidative pentose phosphate pathway.oxidative phase	0.00011617100371747211	1	0.0003805537056417087	32	False
Carbohydrate metabolism.oxidative pentose phosphate pathway.non-oxidative phase	0.00023234200743494423	2	0.00016649224621824755	14	True
Carbohydrate metabolism.gluconeogenesis.phosphoenolpyruvate carboxykinase	0.00023234200743494423	2	7.135381980782038e-05	6	True
Carbohydrate metabolism.fermentation.acetic acid biosynthesis	0.00034851301115241634	3	0.0002497383693273713	21	True
Carbohydrate metabolism.nucleotide sugar biosynthesis.GDP-D-mannose biosynthesis	0.0013940520446096654	12	0.0002616306726286747	22	True
Carbohydrate metabolism.nucleotide sugar biosynthesis.GDP-L-fucose biosynthesis	0.00046468401486988845	4	8.324612310912378e-05	7	True
Carbohydrate metabolism.nucleotide sugar biosynthesis.UDP-D-glucuronic acid biosynthesis	0.0011617100371747212	10	0.0003329844924364951	28	True
Carbohydrate metabolism.nucleotide sugar biosynthesis.UDP-D-galacturonic acid biosynthesis	0.00011617100371747211	1	0.00023784606602606794	20	False
Carbohydrate metabolism.nucleotide sugar biosynthesis.UDP-D-xylose biosynthesis	0.00046468401486988845	4	0.0002616306726286747	22	True
Carbohydrate metabolism.nucleotide sugar biosynthesis.UDP-N-acetylglucosamine biosynthesis	0.00011617100371747211	1	0.00022595376272476454	19	False
Amino acid metabolism.glutamate group amino acid biosynthesis.glutamate-derived amino acids	0.001974907063197026	17	0.001165445723527733	98	True
Amino acid metabolism.glutamate group amino acid biosynthesis.histidine biosynthesis	0.00023234200743494423	2	0.0004281229188469223	36	False
Amino acid metabolism.aspartate group amino acid biosynthesis.asparagine biosynthesis	0.00034851301115241634	3	0.0003448767957377985	29	True
Amino acid metabolism.aspartate group amino acid biosynthesis.aspartate-derived amino acids	0.0026719330855018587	23	0.0019503377414137571	164	True
Amino acid metabolism.pyruvate group amino acid biosynthesis.pyruvate-derived amino acids	0.0009293680297397769	8	0.0006540766815716869	55	True
Amino acid metabolism.serine group amino acid biosynthesis.non-photorespiratory serine	0.001045539033457249	9	0.00022595376272476454	19	True
Amino acid metabolism.shikimate group amino acid biosynthesis.shikimate pathway	0.0005808550185873606	5	0.0005232613452573494	44	True
Amino acid metabolism.shikimate group amino acid biosynthesis.phenylalanine and tyrosine	0.0005808550185873606	5	0.0004756921320521359	40	True
Amino acid metabolism.shikimate group amino acid biosynthesis.tryptophan biosynthesis	0.00034851301115241634	3	0.0004281229188469223	36	False
Amino acid metabolism.amino acid degradation.gamma-aminobutyrate (GABA)	0.00046468401486988845	4	0.00023784606602606794	20	True
Amino acid metabolism.amino acid degradation.proline degradation	0.0005808550185873606	5	0.00014270763961564075	12	True
Amino acid metabolism.amino acid degradation.lysine degradation	0.0005808550185873606	5	0.00019027685282085435	16	True
Amino acid metabolism.amino acid degradation.threonine degradation	0.00023234200743494423	2	0.0002735229759299781	23	False
Amino acid metabolism.amino acid degradation.branched-chain amino acids	0.0013940520446096654	12	0.0009989534773094852	84	True
Amino acid metabolism.amino acid degradation.aromatic amino acids	0.00046468401486988845	4	0.000570830558462563	48	False
Amino acid metabolism.amino acid degradation.methionine degradation	0.00011617100371747211	1	1.1892303301303397e-05	1	True
Amino acid metabolism.polyamine metabolism.putrescine biosynthesis	0.00034851301115241634	3	0.00020216915612215775	17	True
