Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
Cellular respiration.oxidative phosphorylation.NADH dehydrogenase complex	0.003067484662576687	4	0.001771953191894206	149	True
Cellular respiration.oxidative phosphorylation.cytochrome c hemoprotein activity	0.005368098159509203	7	0.0003805537056417087	32	True
Cellular respiration.oxidative phosphorylation.cytochrome c oxidase complex	0.0007668711656441718	1	0.0008800304442964514	74	False
Carbohydrate metabolism.plastidial glycolysis.pyruvate kinase *(PKP1)	0.0015337423312883436	2	0.00015459994291694415	13	True
Amino acid metabolism.glutamate group amino acid biosynthesis.glutamate-derived amino acids	0.003067484662576687	4	0.001165445723527733	98	True
Amino acid metabolism.aspartate group amino acid biosynthesis.aspartate-derived amino acids	0.0023006134969325155	3	0.0019503377414137571	164	True
Amino acid metabolism.pyruvate group amino acid biosynthesis.pyruvate-derived amino acids	0.0007668711656441718	1	0.0006540766815716869	55	True
Amino acid metabolism.amino acid degradation.cysteine degradation	0.0007668711656441718	1	0.0002497383693273713	21	True
Lipid metabolism.fatty acid metabolism.acetyl-CoA generation	0.0015337423312883436	2	0.0004756921320521359	40	True
Lipid metabolism.glycerolipid metabolism.phosphatidate homeostasis	0.0023006134969325155	3	0.0013676148796498905	115	True
Lipid metabolism.glycerolipid metabolism.phosphatidylethanolamine metabolism	0.0015337423312883436	2	0.0007016458947769003	59	True
Lipid metabolism.glycerolipid metabolism.galactolipid biosynthesis	0.0023006134969325155	3	0.00023784606602606794	20	True
Lipid metabolism.lipid-A biosynthesis.3-deoxy-D-manno-octulosonic acid (Kdo) transferase *(KdtA)	0.003067484662576687	4	5.9461516506516985e-05	5	True
Nucleotide metabolism.purines.ribonucleotide (RN) anabolism	0.004601226993865031	6	0.0004637998287508325	39	True
Nucleotide metabolism.pyrimidines.de novo biosynthesis	0.006901840490797546	9	0.0005946151650651698	50	True
Nucleotide metabolism.deoxynucleotides.biosynthesis	0.0023006134969325155	3	0.00022595376272476454	19	True
Coenzyme metabolism.biotin biosynthesis.bifunctional diaminopelargonic acid (DAPA) aminotransferase and dethiobiotin synthetase	0.0015337423312883436	2	2.3784606602606793e-05	2	True
Coenzyme metabolism.iron-sulfur cluster assembly machinery.cytosolic CIA system	0.003834355828220859	5	0.0004756921320521359	40	True
Secondary metabolism.terpenoid biosynthesis.carotenoid biosynthesis	0.0015337423312883436	2	0.000689753591475597	58	True
Redox homeostasis.thiol-based redox regulation.thioredoxin activities	0.0015337423312883436	2	0.0006302920749690801	53	True
Phytohormone action.auxin.perception and signal transduction	0.0007668711656441718	1	0.0019265531348111502	162	False
Phytohormone action.cytokinin.perception and signal transduction	0.0007668711656441718	1	0.001438968699457711	121	False
Phytohormone action.ethylene.perception and signal transduction	0.0015337423312883436	2	0.0007611074112834174	64	True
Phytohormone action.jasmonic acid.perception and signal transduction	0.0015337423312883436	2	0.0005470459518599562	46	True
Chromatin organisation.chromatin structure.DNA wrapping	0.003834355828220859	5	0.0014032917895538007	118	True
Chromatin organisation.chromatin structure.structure modulation	0.007668711656441718	10	0.0007135381980782038	60	True
Chromatin organisation.histone chaperone activities.CAF1 histone chaperone complex	0.0015337423312883436	2	0.0002735229759299781	23	True
Chromatin organisation.histone chaperone activities.histone chaperone *(NASP)	0.0015337423312883436	2	0.00010703072971173057	9	True
Chromatin organisation.histone chaperone activities.histone chaperone *(CHZ)	0.0007668711656441718	1	1.1892303301303397e-05	1	True
Chromatin organisation.post-translational histone modification.histone methylation	0.009969325153374233	13	0.004019598515840548	338	True
Chromatin organisation.post-translational histone modification.histone acetylation	0.005368098159509203	7	0.0034844448672818953	293	True
Chromatin organisation.post-translational histone modification.PRC1 bifunctional histone ubiquitination and methylation reader complex	0.003834355828220859	5	0.0011892303301303396	100	True
Chromatin organisation.nucleosome remodeling.SWI/SNF chromatin remodeling complexes	0.0015337423312883436	2	0.0016292455522785654	137	False
Chromatin organisation.nucleosome remodeling.ISWI chromatin remodeling complexes	0.003834355828220859	5	0.0007729997145847207	65	True
Chromatin organisation.nucleosome remodeling.SWR1 chromatin remodeling complex	0.004601226993865031	6	0.0004281229188469223	36	True
Chromatin organisation.nucleosome remodeling.other chromatin remodeling activities	0.0015337423312883436	2	0.0005470459518599562	46	True
Chromatin organisation.epigenetic state regulation.RNA-directed DNA methylation (RdDM) pathway	0.015337423312883436	20	0.0014032917895538007	118	True
Chromatin organisation.epigenetic state regulation.RNA-independent DNA methylation	0.0023006134969325155	3	0.0006421843782703834	54	True
Chromatin organisation.epigenetic state regulation.DNA methylation regulation	0.003834355828220859	5	0.0009038150508990582	76	True
Cell division.DNA replication.preinitiation	0.007668711656441718	10	0.0007492151079821139	63	True
Cell division.DNA replication.initiation	0.0023006134969325155	3	0.0003448767957377985	29	True
Cell division.DNA replication.elongation	0.009969325153374233	13	0.0011059842070212159	93	True
Cell division.DNA replication.maturation	0.006901840490797546	9	0.0002854152792312815	24	True
Cell division.DNA replication.organelle machinery	0.01687116564417178	22	0.0010584149938160023	89	True
Cell division.DNA replication.endoreduplication	0.003834355828220859	5	0.0003329844924364951	28	True
Cell division.cell cycle organisation.cell cycle control	0.004601226993865031	6	0.0035320140804871087	297	True
Cell division.cell cycle organisation.chromatin condensation	0.006134969325153374	8	0.0002497383693273713	21	True
Cell division.cell cycle organisation.chromosome segregation	0.005368098159509203	7	0.0011892303301303396	100	True
Cell division.cell cycle organisation.metaphase to anaphase transition	0.018404907975460124	24	0.0010227380839120922	86	True
Cell division.cell cycle organisation.sister chromatid separation	0.01303680981595092	17	0.001355722576348587	114	True
Cell division.cell cycle organisation.cell cycle arrest	0.0007668711656441718	1	4.756921320521359e-05	4	True
Cell division.meiotic recombination.meiotic double strand break initiation	0.005368098159509203	7	0.0004637998287508325	39	True
Cell division.meiotic recombination.meiotic double strand break processing	0.006901840490797546	9	0.00022595376272476454	19	True
Cell division.meiotic recombination.meiotic crossover	0.003834355828220859	5	0.0017124916753876891	144	True
Cell division.cytokinesis.phragmoplast microtubule organization	0.003834355828220859	5	0.0004162306155456189	35	True
Cell division.cytokinesis.endoplasmic reticulum (ER) reorganisation	0.0015337423312883436	2	0.0010346303872133954	87	True
Cell division.mitochondrion/peroxisome binary fission.mitochondrion fission	0.0023006134969325155	3	5.9461516506516985e-05	5	True
DNA damage response.DNA damage sensing and signalling.ATM pathway	0.009202453987730062	12	0.00015459994291694415	13	True
DNA damage response.DNA damage sensing and signalling.ATR pathway	0.009969325153374233	13	0.0002973075825325849	25	True
DNA damage response.DNA damage sensing and signalling.regulatory protein *(XIP)	0.006134969325153374	8	0.00015459994291694415	13	True
DNA damage response.DNA repair polymerase activities.DNA polymerase theta *(POLQ)	0.0015337423312883436	2	2.3784606602606793e-05	2	True
DNA damage response.homologous recombination repair (HR).DDRM1-SOG1 regulatory module	0.0007668711656441718	1	8.324612310912378e-05	7	True
DNA damage response.homologous recombination repair (HR).Smc5-Smc6 complex	0.005368098159509203	7	0.0003805537056417087	32	True
DNA damage response.nonhomologous end-joining (NHEJ) repair.DNA end recognition	0.004601226993865031	6	0.00011892303301303397	10	True
DNA damage response.base excision repair (BER).gap filling and nick sealing	0.0023006134969325155	3	9.513842641042717e-05	8	True
DNA damage response.nucleotide excision repair (NER).damage recognition	0.0023006134969325155	3	0.0005946151650651698	50	True
DNA damage response.nucleotide excision repair (NER).preincision complex formation	0.0023006134969325155	3	0.0002735229759299781	23	True
DNA damage response.mismatch repair (MMR).lesion recognition	0.006134969325153374	8	0.00010703072971173057	9	True
RNA biosynthesis.DNA-dependent RNA polymerase complexes.RNA polymerase III complex	0.0015337423312883436	2	0.0002497383693273713	21	True
RNA biosynthesis.DNA-dependent RNA polymerase complexes.regulation	0.0023006134969325155	3	3.567690990391019e-05	3	True
RNA biosynthesis.RNA polymerase II-dependent transcription.transcription initiation	0.0023006134969325155	3	0.0010584149938160023	89	True
RNA biosynthesis.RNA polymerase II-dependent transcription.transcription co-activation	0.00843558282208589	11	0.003258491104557131	274	True
RNA biosynthesis.RNA polymerase II-dependent transcription.transcription elongation	0.0007668711656441718	1	0.0007967843211873275	67	False
RNA biosynthesis.RNA polymerase II-dependent transcription.transcription termination	0.0023006134969325155	3	0.00023784606602606794	20	True
RNA biosynthesis.DNA-binding transcriptional regulation.basic DNA-binding domain	0.0023006134969325155	3	0.009513842641042717	800	False
RNA biosynthesis.DNA-binding transcriptional regulation.zinc-coordinating DNA-binding domain	0.011503067484662576	15	0.0066477975454285985	559	True
RNA biosynthesis.DNA-binding transcriptional regulation.helix-turn-helix DNA-binding domain	0.0015337423312883436	2	0.011392826562648653	958	False
RNA biosynthesis.DNA-binding transcriptional regulation.beta-hairpin exposed by alpha/beta-scaffold structure	0.007668711656441718	10	0.010441442298544382	878	False
RNA biosynthesis.DNA-binding transcriptional regulation.beta-sheet DNA-binding domain	0.0015337423312883436	2	0.0008800304442964514	74	True
RNA biosynthesis.DNA-binding transcriptional regulation.beta-barrel DNA-binding domain	0.003067484662576687	4	0.002223860717343735	187	True
RNA biosynthesis.DNA-binding transcriptional regulation.undefined DNA-binding domain	0.0007668711656441718	1	0.0031633526781467036	266	False
RNA biosynthesis.transcriptional co-regulation.JAZ-TPR transcriptional repressor complexes	0.0007668711656441718	1	0.0007967843211873275	67	False
RNA biosynthesis.organellar gene expression machinery.nuclear-encoded organellar RNA polymerase *(NEP)	0.003834355828220859	5	0.00017838454951955095	15	True
RNA processing.spliceosome-mediated pre-mRNA splicing.U2-type major spliceosome	0.013803680981595092	18	0.0029730758253258493	250	True
RNA processing.spliceosome-mediated pre-mRNA splicing.spliceosome disassembly	0.006901840490797546	9	0.0003686614023404053	31	True
RNA processing.spliceosome-mediated pre-mRNA splicing.MAC/NTC spliceosome-associated complex	0.004601226993865031	6	0.0011892303301303396	100	True
RNA processing.spliceosome-mediated pre-mRNA splicing.spliceosome-associated non-snRNP factor activities	0.0023006134969325155	3	0.002342783750356769	197	False
RNA processing.pre-RNA group-I/-II intron splicing.PPR-type RNA splicing factor activities	0.003834355828220859	5	0.000927599657501665	78	True
RNA processing.pre-RNA group-I/-II intron splicing.helicase activities	0.0015337423312883436	2	0.00017838454951955095	15	True
RNA processing.pre-tRNA splicing.multifunctional tRNA ligase *(RLG1)	0.0007668711656441718	1	1.1892303301303397e-05	1	True
RNA processing.mRNA modification.RNA 5-end processing	0.0015337423312883436	2	0.0006778612881742935	57	True
RNA processing.mRNA modification.Cleavage and Polyadenylation Specificity Factor (CPSF) complex	0.0023006134969325155	3	0.0003805537056417087	32	True
RNA processing.mRNA modification.Cleavage Stimulatory Factor (CstF) complex	0.0007668711656441718	1	0.00010703072971173057	9	True
RNA processing.mRNA modification.Cleavage Factor I (CF-Im) complex	0.0023006134969325155	3	0.00017838454951955095	15	True
RNA processing.mRNA modification.Cleavage Factor II (CF-IIm) complex	0.0015337423312883436	2	0.00017838454951955095	15	True
RNA processing.tRNA modification.tRNA methylation	0.0015337423312883436	2	0.0012249072400342498	103	True
RNA processing.tRNA modification.RNase-P-dependent modification	0.0015337423312883436	2	0.00023784606602606794	20	True
RNA processing.tRNA modification.tRNA ribonuclease activities	0.0015337423312883436	2	0.0003210921891351917	27	True
RNA processing.tRNA modification.tRNA editing	0.0015337423312883436	2	0.0003210921891351917	27	True
RNA processing.RNA pseudouridylation.stand-alone pseudouridine synthase activities	0.009202453987730062	12	0.0007848920178860242	66	True
RNA processing.organelle RNA modification.C-to-U RNA editing	0.0023006134969325155	3	0.0014032917895538007	118	True
RNA homeostasis.mRNA degradation.mRNA deadenylation	0.004601226993865031	6	0.0007611074112834174	64	True
RNA homeostasis.mRNA degradation.Exosome RNA surveillance complex	0.0023006134969325155	3	0.0013676148796498905	115	True
RNA homeostasis.mRNA surveillance pathways.Nonsense-Mediated Decay (NMD) pathway	0.0015337423312883436	2	0.0006065074683664733	51	True
