Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
Cellular respiration.oxidative phosphorylation.NADH dehydrogenase complex	0.007407407407407408	4	0.001771953191894206	149	True
Cellular respiration.oxidative phosphorylation.cytochrome c reductase complex	0.001851851851851852	1	0.0007373228046808106	62	True
Carbohydrate metabolism.sucrose metabolism.biosynthesis	0.003703703703703704	2	0.0006659689848729902	56	True
Carbohydrate metabolism.nucleotide sugar biosynthesis.UDP-L-arabinose biosynthesis	0.001851851851851852	1	0.0003924460089430121	33	True
Amino acid metabolism.glutamate group amino acid biosynthesis.histidine biosynthesis	0.007407407407407408	4	0.0004281229188469223	36	True
Amino acid metabolism.aspartate group amino acid biosynthesis.aspartate-derived amino acids	0.001851851851851852	1	0.0019503377414137571	164	False
Nucleotide metabolism.purines.catabolism	0.005555555555555556	3	0.0005113690419560461	43	True
Coenzyme metabolism.tetrahydrofolate metabolism.pterin regeneration	0.001851851851851852	1	4.756921320521359e-05	4	True
Secondary metabolism.terpenoid biosynthesis.carotenoid biosynthesis	0.001851851851851852	1	0.000689753591475597	58	True
Redox homeostasis.ascorbate-based redox regulation.monodehydroascorbate reductase *(MDAR)	0.001851851851851852	1	0.00011892303301303397	10	True
Phytohormone action.jasmonic acid.biosynthesis	0.003703703703703704	2	0.0005827228617638665	49	True
Chromatin organisation.chromatin structure.DNA wrapping	0.001851851851851852	1	0.0014032917895538007	118	True
Cell division.DNA replication.organelle machinery	0.001851851851851852	1	0.0010584149938160023	89	True
Cell division.cell cycle organisation.cell cycle control	0.003703703703703704	2	0.0035320140804871087	297	True
Cell division.cell cycle organisation.metaphase to anaphase transition	0.007407407407407408	4	0.0010227380839120922	86	True
Cell division.cell cycle organisation.sister chromatid separation	0.009259259259259259	5	0.001355722576348587	114	True
Cell division.meiotic recombination.meiotic initiation	0.001851851851851852	1	0.0002854152792312815	24	True
Cell division.meiotic recombination.meiotic crossover	0.02962962962962963	16	0.0017124916753876891	144	True
Cell division.cytokinesis.cell-plate formation	0.001851851851851852	1	0.0006659689848729902	56	True
Cell division.cytokinesis.phragmoplast disassembly	0.005555555555555556	3	0.0006183997716677766	52	True
Cell division.cytokinesis.endoplasmic reticulum (ER) reorganisation	0.001851851851851852	1	0.0010346303872133954	87	True
DNA damage response.homologous recombination repair (HR).Smc5-Smc6 complex	0.001851851851851852	1	0.0003805537056417087	32	True
RNA biosynthesis.RNA polymerase II-dependent transcription.transcription co-activation	0.005555555555555556	3	0.003258491104557131	274	True
RNA biosynthesis.RNA polymerase III-dependent transcription.TFIIIb transcription factor complex	0.001851851851851852	1	0.00023784606602606794	20	True
RNA biosynthesis.DNA-binding transcriptional regulation.helix-turn-helix DNA-binding domain	0.005555555555555556	3	0.011392826562648653	958	False
RNA biosynthesis.DNA-binding transcriptional regulation.beta-hairpin exposed by alpha/beta-scaffold structure	0.001851851851851852	1	0.010441442298544382	878	False
