Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
Amino acid metabolism.shikimate group amino acid biosynthesis.tryptophan biosynthesis	0.002583979328165375	2	0.0004281229188469223	36	True
Lipid metabolism.fatty acid metabolism.citrate shuttle	0.002583979328165375	2	0.0005827228617638665	49	True
Lipid metabolism.fatty acid metabolism.plastidial fatty acid synthase (ptFAS) system	0.002583979328165375	2	0.000808676624488631	68	True
Lipid metabolism.fatty acid metabolism.endoplasmic reticulum-localized fatty acid elongase (FAE) system	0.006459948320413436	5	0.0006183997716677766	52	True
Lipid metabolism.glycerolipid metabolism.phosphatidate homeostasis	0.006459948320413436	5	0.0013676148796498905	115	True
Lipid metabolism.glycerolipid metabolism.glycerolipid degradation	0.002583979328165375	2	0.0021168299876320046	178	True
Lipid metabolism.cytoplasmic lipid droplet-associated activities.Caleosin-type peroxygenase *(CLO/PXG)	0.006459948320413436	5	0.0003210921891351917	27	True
Coenzyme metabolism.coenzyme A metabolism.dephospho-coenzyme-A kinase	0.0012919896640826874	1	3.567690990391019e-05	3	True
Coenzyme metabolism.NAD/NADP biosynthesis.Preiss-Handler salvage pathway	0.0012919896640826874	1	0.00019027685282085435	16	True
Coenzyme metabolism.phylloquinone biosynthesis.1,4-dihydroxy-2-naphthoyl-CoA thioesterase *(MenH/DHNAT)	0.0012919896640826874	1	5.9461516506516985e-05	5	True
Secondary metabolism.terpenoid biosynthesis.terpene biosynthesis	0.002583979328165375	2	0.0008205689277899343	69	True
Secondary metabolism.phenolics biosynthesis.flavonoid biosynthesis	0.0012919896640826874	1	0.0004519075254495291	38	True
Redox homeostasis.reactive oxygen-induced signalling.NADPH-oxidase activity	0.002583979328165375	2	0.0004519075254495291	38	True
Phytohormone action.brassinosteroid.perception and signal transduction	0.0012919896640826874	1	0.001141661116925126	96	True
Phytohormone action.jasmonic acid.transport	0.002583979328165375	2	5.9461516506516985e-05	5	True
Phytohormone action.strigolactone.conjugation and degradation	0.0012919896640826874	1	0.00010703072971173057	9	True
Phytohormone action.signalling peptides.NCRP (non-cysteine-rich-peptide) category	0.0012919896640826874	1	0.0017362762819902958	146	False
Phytohormone action.signalling peptides.CRP (cysteine-rich-peptide) category	0.002583979328165375	2	0.0012130149367329465	102	True
Chromatin organisation.post-translational histone modification.histone methylation	0.002583979328165375	2	0.004019598515840548	338	False
Chromatin organisation.post-translational histone modification.PRC1 bifunctional histone ubiquitination and methylation reader complex	0.00516795865633075	4	0.0011892303301303396	100	True
Cell division.cell cycle organisation.sister chromatid separation	0.006459948320413436	5	0.001355722576348587	114	True
Cell division.cytokinesis.preprophase microtubule organization	0.003875968992248062	3	0.001201122633431643	101	True
RNA biosynthesis.DNA-binding transcriptional regulation.basic DNA-binding domain	0.002583979328165375	2	0.009513842641042717	800	False
