Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
Photosynthesis.photorespiration.hydroxypyruvate reductase activities	0.0006426735218508997	1	0.00020216915612215775	17	True
Cellular respiration.glycolysis.cytosolic glycolysis	0.0012853470437017994	2	0.0009394919608029683	79	True
Cellular respiration.tricarboxylic acid cycle.succinate dehydrogenase complex	0.0006426735218508997	1	0.0004400152221482257	37	True
Cellular respiration.tricarboxylic acid cycle.fumarate hydratase *(FUM1/2)	0.0019280205655526992	3	8.324612310912378e-05	7	True
Cellular respiration.oxidative phosphorylation.NADH dehydrogenase complex	0.005141388174807198	8	0.001771953191894206	149	True
Cellular respiration.oxidative phosphorylation.cytochrome c reductase complex	0.003213367609254499	5	0.0007373228046808106	62	True
Cellular respiration.oxidative phosphorylation.cytochrome c hemoprotein activity	0.0006426735218508997	1	0.0003805537056417087	32	True
Cellular respiration.oxidative phosphorylation.cytochrome c oxidase complex	0.0019280205655526992	3	0.0008800304442964514	74	True
Cellular respiration.oxidative phosphorylation.ATP synthase complex	0.0012853470437017994	2	0.0009632765674055751	81	True
Carbohydrate metabolism.oligosaccharide metabolism.alpha-galactosidase *(AGAL)	0.0012853470437017994	2	0.00019027685282085435	16	True
Carbohydrate metabolism.nucleotide sugar biosynthesis.GDP-D-mannose biosynthesis	0.0006426735218508997	1	0.0002616306726286747	22	True
Carbohydrate metabolism.nucleotide sugar biosynthesis.UDP-D-xylose biosynthesis	0.0006426735218508997	1	0.0002616306726286747	22	True
Carbohydrate metabolism.nucleotide sugar biosynthesis.UDP-L-arabinose biosynthesis	0.0012853470437017994	2	0.0003924460089430121	33	True
Amino acid metabolism.amino acid degradation.branched-chain amino acids	0.0019280205655526992	3	0.0009989534773094852	84	True
Amino acid metabolism.amino acid degradation.aromatic amino acids	0.003213367609254499	5	0.000570830558462563	48	True
Lipid metabolism.fatty acid metabolism.mitochondrial fatty acid synthase (mtFAS) system	0.0006426735218508997	1	0.0002735229759299781	23	True
Lipid metabolism.fatty acid metabolism.endoplasmic reticulum-localized fatty acid elongase (FAE) system	0.0019280205655526992	3	0.0006183997716677766	52	True
Lipid metabolism.fatty acid metabolism.fatty acid transport	0.003213367609254499	5	0.0004043383122443155	34	True
Lipid metabolism.fatty acid metabolism.fatty acid degradation	0.0012853470437017994	2	0.0012486918466368567	105	True
Lipid metabolism.glycerolipid metabolism.phosphatidate homeostasis	0.0006426735218508997	1	0.0013676148796498905	115	False
Lipid metabolism.glycerolipid metabolism.phosphatidylcholine biosynthesis	0.0006426735218508997	1	0.0005827228617638665	49	True
Lipid metabolism.glycerolipid metabolism.phosphatidylserine biosynthesis	0.0012853470437017994	2	0.00021406145942346114	18	True
Lipid metabolism.sphingolipid metabolism.ceramide biosynthesis	0.0006426735218508997	1	0.0006421843782703834	54	True
Lipid metabolism.sphingolipid metabolism.sphingolipid phosphorylation	0.0006426735218508997	1	0.0003210921891351917	27	True
Lipid metabolism.phytosterol metabolism.phytosterol esterification	0.0006426735218508997	1	9.513842641042717e-05	8	True
Lipid metabolism.lipid trafficking.endoplasmic reticulum - organelle lipid transfer	0.0006426735218508997	1	0.001355722576348587	114	False
Nucleotide metabolism.purines.phosphotransfers	0.0006426735218508997	1	0.0003686614023404053	31	True
Nucleotide metabolism.pyrimidines.de novo biosynthesis	0.0006426735218508997	1	0.0005946151650651698	50	True
Coenzyme metabolism.thiamine pyrophosphate metabolism.bifunctional hydroxymethylpyrimidine kinase and thiamine-phosphate diphosphorylase *(Th1)	0.002570694087403599	4	4.756921320521359e-05	4	True
Coenzyme metabolism.coenzyme A metabolism.dephospho-coenzyme-A kinase	0.0012853470437017994	2	3.567690990391019e-05	3	True
Coenzyme metabolism.tetrahydrofolate metabolism.folyl-polyglutamate synthetase	0.0006426735218508997	1	9.513842641042717e-05	8	True
Coenzyme metabolism.prenylquinone biosynthesis.ubiquinone biosynthesis	0.0006426735218508997	1	0.0004519075254495291	38	True
Coenzyme metabolism.iron-sulfur cluster assembly machinery.mitochondrial ISC system	0.0019280205655526992	3	0.0007254305013795071	61	True
Coenzyme metabolism.iron-sulfur cluster assembly machinery.cytosolic CIA system	0.0012853470437017994	2	0.0004756921320521359	40	True
Secondary metabolism.phenolics biosynthesis.flavonoid biosynthesis	0.0006426735218508997	1	0.0004519075254495291	38	True
Secondary metabolism.phenolics biosynthesis.lignan biosynthesis	0.0006426735218508997	1	3.567690990391019e-05	3	True
Secondary metabolism.oxalate homeostasis.formate dehydrogenase *(FDH1)	0.0006426735218508997	1	8.324612310912378e-05	7	True
Redox homeostasis.glutathione-based redox regulation.glutathione degradation	0.0019280205655526992	3	0.0004519075254495291	38	True
Redox homeostasis.glutathione-based redox regulation.glutathione S-transferase activities	0.005141388174807198	8	0.0012962610598420703	109	True
Phytohormone action.abscisic acid.perception and signalling	0.0006426735218508997	1	0.0008562458376938446	72	False
Phytohormone action.auxin.conjugation and degradation	0.0019280205655526992	3	0.0004875844353534393	41	True
Chromatin organisation.chromatin structure.DNA wrapping	0.004498714652956298	7	0.0014032917895538007	118	True
Chromatin organisation.histone chaperone activities.CAF1 histone chaperone complex	0.0006426735218508997	1	0.0002735229759299781	23	True
Chromatin organisation.histone chaperone activities.histone chaperone *(NASP)	0.0006426735218508997	1	0.00010703072971173057	9	True
Chromatin organisation.post-translational histone modification.histone methylation	0.0012853470437017994	2	0.004019598515840548	338	False
Chromatin organisation.post-translational histone modification.histone acetylation	0.0006426735218508997	1	0.0034844448672818953	293	False
Chromatin organisation.epigenetic state regulation.RNA-directed DNA methylation (RdDM) pathway	0.002570694087403599	4	0.0014032917895538007	118	True
Chromatin organisation.epigenetic state regulation.RNA-independent DNA methylation	0.0006426735218508997	1	0.0006421843782703834	54	True
Cell division.DNA replication.elongation	0.008997429305912597	14	0.0011059842070212159	93	True
Cell division.DNA replication.telomere replication	0.0012853470437017994	2	0.0004875844353534393	41	True
Cell division.cell cycle organisation.cell cycle control	0.0012853470437017994	2	0.0035320140804871087	297	False
Cell division.cell cycle organisation.chromosome segregation	0.0006426735218508997	1	0.0011892303301303396	100	False
Cell division.cell cycle organisation.sister chromatid separation	0.0019280205655526992	3	0.001355722576348587	114	True
Cell division.meiotic recombination.DNA strand exchange	0.0006426735218508997	1	0.0005589382551612597	47	True
Cell division.meiotic recombination.meiotic crossover	0.002570694087403599	4	0.0017124916753876891	144	True
Cell division.cytokinesis.preprophase microtubule organization	0.0006426735218508997	1	0.001201122633431643	101	False
Cell division.cytokinesis.endoplasmic reticulum (ER) reorganisation	0.0006426735218508997	1	0.0010346303872133954	87	False
DNA damage response.homologous recombination repair (HR).BRCC regulatory holo-complex	0.0006426735218508997	1	0.0004756921320521359	40	True
DNA damage response.base excision repair (BER).lesion recognition and removal	0.003213367609254499	5	0.0002735229759299781	23	True
DNA damage response.nucleotide excision repair (NER).damage recognition	0.002570694087403599	4	0.0005946151650651698	50	True
RNA biosynthesis.RNA polymerase II-dependent transcription.RNA polymerase-II phosphorylation/dephosphorylation	0.0006426735218508997	1	0.0006421843782703834	54	True
RNA biosynthesis.RNA polymerase II-dependent transcription.transcription co-activation	0.0012853470437017994	2	0.003258491104557131	274	False
RNA biosynthesis.RNA polymerase III-dependent transcription.TFIIIb transcription factor complex	0.003213367609254499	5	0.00023784606602606794	20	True
