Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
Photosynthesis.CAM/C4 photosynthesis.NAD-dependent malate dehydrogenase	0.0024968789013732834	2	0.00013081533631433735	11	True
Cellular respiration.oxidative phosphorylation.cytochrome c hemoprotein activity	0.0012484394506866417	1	0.0003805537056417087	32	True
Cellular respiration.oxidative phosphorylation.cytochrome c oxidase complex	0.0012484394506866417	1	0.0008800304442964514	74	True
Carbohydrate metabolism.oligosaccharide metabolism.galactinol synthase *(GolS)	0.0012484394506866417	1	4.756921320521359e-05	4	True
Carbohydrate metabolism.plastidial glycolysis.2,3-bisphosphoglycerate-dependent phosphoglycerate mutase *(GPMA1/2)	0.0024968789013732834	2	7.135381980782038e-05	6	True
Carbohydrate metabolism.nucleotide sugar biosynthesis.UDP-D-xylose biosynthesis	0.0012484394506866417	1	0.0002616306726286747	22	True
Carbohydrate metabolism.nucleotide sugar biosynthesis.UDP-L-arabinose biosynthesis	0.0012484394506866417	1	0.0003924460089430121	33	True
Amino acid metabolism.aspartate group amino acid biosynthesis.aspartate-derived amino acids	0.0024968789013732834	2	0.0019503377414137571	164	True
Lipid metabolism.fatty acid metabolism.citrate shuttle	0.0024968789013732834	2	0.0005827228617638665	49	True
Lipid metabolism.fatty acid metabolism.fatty acid transport	0.003745318352059925	3	0.0004043383122443155	34	True
Lipid metabolism.glycerolipid metabolism.phosphatidylserine biosynthesis	0.0012484394506866417	1	0.00021406145942346114	18	True
Lipid metabolism.glycerolipid metabolism.phosphatidylglycerol biosynthesis	0.0012484394506866417	1	0.0004162306155456189	35	True
Nucleotide metabolism.purines.ribonucleotide (RN) anabolism	0.0024968789013732834	2	0.0004637998287508325	39	True
Nucleotide metabolism.deoxynucleotides.salvage pathway	0.0012484394506866417	1	0.0002497383693273713	21	True
Coenzyme metabolism.molybdenum cofactor biosynthesis.precursor Z biosynthesis	0.0024968789013732834	2	4.756921320521359e-05	4	True
Coenzyme metabolism.thiamine pyrophosphate metabolism.thiamine diphosphate transporter *(TPC1/TPC2)	0.0024968789013732834	2	4.756921320521359e-05	4	True
Coenzyme metabolism.tetrapyrrole biosynthesis.5-aminolevulinic acid formation	0.0012484394506866417	1	0.0004281229188469223	36	True
Secondary metabolism.betaine biosynthesis.glycinebetaine biosynthesis	0.0012484394506866417	1	0.00010703072971173057	9	True
Phytohormone action.auxin.perception and signal transduction	0.0012484394506866417	1	0.0019265531348111502	162	False
Phytohormone action.brassinosteroid.perception and signal transduction	0.003745318352059925	3	0.001141661116925126	96	True
Phytohormone action.jasmonic acid.biosynthesis	0.0024968789013732834	2	0.0005827228617638665	49	True
Phytohormone action.strigolactone.biosynthesis	0.0012484394506866417	1	0.0002616306726286747	22	True
Chromatin organisation.chromatin structure.DNA wrapping	0.004993757802746567	4	0.0014032917895538007	118	True
Chromatin organisation.post-translational histone modification.histone methylation	0.003745318352059925	3	0.004019598515840548	338	False
Chromatin organisation.post-translational histone modification.histone acetylation	0.0012484394506866417	1	0.0034844448672818953	293	False
Cell division.DNA replication.initiation	0.0012484394506866417	1	0.0003448767957377985	29	True
Cell division.cell cycle organisation.cell cycle control	0.0012484394506866417	1	0.0035320140804871087	297	False
