Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
Photosynthesis.photophosphorylation.photosystem II	0.00038774718883288094	1	0.0030682142517362765	258	False
Photosynthesis.photorespiration.hydroxypyruvate reductase activities	0.00038774718883288094	1	0.00020216915612215775	17	True
Cellular respiration.glycolysis.cytosolic glycolysis	0.0031019775106630476	8	0.0009394919608029683	79	True
Cellular respiration.tricarboxylic acid cycle.citrate synthase *(CSY4/5)	0.0007754943776657619	2	0.00013081533631433735	11	True
Cellular respiration.oxidative phosphorylation.cytochrome c reductase complex	0.00038774718883288094	1	0.0007373228046808106	62	False
Cellular respiration.oxidative phosphorylation.cytochrome c oxidase complex	0.00038774718883288094	1	0.0008800304442964514	74	False
Carbohydrate metabolism.sucrose metabolism.triose-phosphate translocation	0.00038774718883288094	1	4.756921320521359e-05	4	True
Carbohydrate metabolism.sucrose metabolism.degradation	0.00038774718883288094	1	0.0011178765103225193	94	False
Carbohydrate metabolism.starch metabolism.granule initiation	0.0015509887553315238	4	0.00015459994291694415	13	True
Carbohydrate metabolism.starch metabolism.degradation	0.0011632415664986429	3	0.0010108457806107887	85	True
Carbohydrate metabolism.nucleotide sugar biosynthesis.UDP-L-arabinose biosynthesis	0.0015509887553315238	4	0.0003924460089430121	33	True
Carbohydrate metabolism.nucleotide sugar biosynthesis.UDP-D-glucose 4-epimerase	0.0007754943776657619	2	0.00015459994291694415	13	True
Amino acid metabolism.aspartate group amino acid biosynthesis.aspartate-derived amino acids	0.0011632415664986429	3	0.0019503377414137571	164	False
Amino acid metabolism.shikimate group amino acid biosynthesis.shikimate pathway	0.00038774718883288094	1	0.0005232613452573494	44	False
Amino acid metabolism.amino acid degradation.gamma-aminobutyrate (GABA)	0.0007754943776657619	2	0.00023784606602606794	20	True
Amino acid metabolism.amino acid degradation.branched-chain amino acids	0.0034897246994959287	9	0.0009989534773094852	84	True
Amino acid metabolism.amino acid degradation.aromatic amino acids	0.0011632415664986429	3	0.000570830558462563	48	True
Lipid metabolism.fatty acid metabolism.fatty acid desaturation	0.0007754943776657619	2	0.0007492151079821139	63	True
Lipid metabolism.fatty acid metabolism.fatty acid transport	0.0011632415664986429	3	0.0004043383122443155	34	True
Lipid metabolism.fatty acid metabolism.fatty acid degradation	0.004265219077161691	11	0.0012486918466368567	105	True
Lipid metabolism.glycerolipid metabolism.phosphatidate homeostasis	0.0015509887553315238	4	0.0013676148796498905	115	True
Lipid metabolism.glycerolipid metabolism.triacylglycerol biosynthesis	0.0011632415664986429	3	0.0003210921891351917	27	True
Lipid metabolism.glycerolipid metabolism.phosphatidylcholine biosynthesis	0.0023264831329972858	6	0.0005827228617638665	49	True
Lipid metabolism.glycerolipid metabolism.glycerolipid degradation	0.0007754943776657619	2	0.0021168299876320046	178	False
Lipid metabolism.sphingolipid metabolism.ceramide biosynthesis	0.0015509887553315238	4	0.0006421843782703834	54	True
Lipid metabolism.sphingolipid metabolism.complex sphingolipid biosynthesis	0.00038774718883288094	1	0.0004400152221482257	37	False
Lipid metabolism.sphingolipid metabolism.sphingolipid homeostasis	0.0019387359441644049	5	0.0002854152792312815	24	True
Lipid metabolism.lipid trafficking.endoplasmic reticulum - organelle lipid transfer	0.0019387359441644049	5	0.001355722576348587	114	True
Lipid metabolism.cytoplasmic lipid droplet-associated activities.Caleosin-type peroxygenase *(CLO/PXG)	0.0011632415664986429	3	0.0003210921891351917	27	True
Lipid metabolism.cytoplasmic lipid droplet-associated activities.associated factor *(LDAP)	0.0011632415664986429	3	4.756921320521359e-05	4	True
Nucleotide metabolism.purines.salvage pathway	0.0007754943776657619	2	0.0003924460089430121	33	True
Nucleotide metabolism.purines.extracellular ATP	0.0007754943776657619	2	0.0003805537056417087	32	True
Nucleotide metabolism.non-canonical nucleotide metabolism.nucleoside monophosphoramidate hydrolase *(HINT1/2)	0.0007754943776657619	2	4.756921320521359e-05	4	True
Coenzyme metabolism.molybdenum cofactor biosynthesis.molybdopterin biosynthesis	0.0011632415664986429	3	0.00016649224621824755	14	True
Coenzyme metabolism.pyridoxal-phosphate homeostasis.regulatory protein *(PLPHP1/2)	0.0007754943776657619	2	0.00011892303301303397	10	True
Coenzyme metabolism.prenylquinone biosynthesis.4-hydroxybenzoate biosynthesis	0.00038774718883288094	1	0.00010703072971173057	9	True
Coenzyme metabolism.NAD/NADP biosynthesis.NAD kinase activities	0.00038774718883288094	1	0.00015459994291694415	13	True
