Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
Photosynthesis.photophosphorylation.photosystem II	0.0006493506493506494	1	0.0030682142517362765	258	False
Photosynthesis.calvin cycle.ribulose-1,5-bisphosphat carboxylase/oxygenase (RuBisCo) activity	0.001948051948051948	3	0.0007729997145847207	65	True
Photosynthesis.photorespiration.glycine decarboxylase complex	0.0006493506493506494	1	0.00017838454951955095	15	True
Photosynthesis.CAM/C4 photosynthesis.NAD-dependent malate dehydrogenase	0.0006493506493506494	1	0.00013081533631433735	11	True
Cellular respiration.tricarboxylic acid cycle.aconitase *(ACO)	0.0025974025974025974	4	0.0002497383693273713	21	True
Cellular respiration.tricarboxylic acid cycle.succinyl-CoA ligase heterodimer	0.0006493506493506494	1	0.00019027685282085435	16	True
Cellular respiration.tricarboxylic acid cycle.fumarate hydratase *(FUM1/2)	0.0006493506493506494	1	8.324612310912378e-05	7	True
Cellular respiration.oxidative phosphorylation.NADH dehydrogenase complex	0.001948051948051948	3	0.001771953191894206	149	True
Cellular respiration.oxidative phosphorylation.ATP synthase complex	0.003246753246753247	5	0.0009632765674055751	81	True
Carbohydrate metabolism.sucrose metabolism.biosynthesis	0.0006493506493506494	1	0.0006659689848729902	56	False
Carbohydrate metabolism.plastidial glycolysis.pyruvate kinase *(PKP1)	0.0012987012987012987	2	0.00015459994291694415	13	True
Amino acid metabolism.glutamate group amino acid biosynthesis.glutamate-derived amino acids	0.001948051948051948	3	0.001165445723527733	98	True
Amino acid metabolism.glutamate group amino acid biosynthesis.histidine biosynthesis	0.003246753246753247	5	0.0004281229188469223	36	True
Amino acid metabolism.aspartate group amino acid biosynthesis.aspartate-derived amino acids	0.003246753246753247	5	0.0019503377414137571	164	True
Amino acid metabolism.shikimate group amino acid biosynthesis.shikimate pathway	0.0006493506493506494	1	0.0005232613452573494	44	True
Amino acid metabolism.shikimate group amino acid biosynthesis.phenylalanine and tyrosine	0.003896103896103896	6	0.0004756921320521359	40	True
Lipid metabolism.fatty acid metabolism.citrate shuttle	0.0006493506493506494	1	0.0005827228617638665	49	True
Lipid metabolism.fatty acid metabolism.acetyl-CoA generation	0.0012987012987012987	2	0.0004756921320521359	40	True
Lipid metabolism.fatty acid metabolism.fatty acid desaturation	0.0006493506493506494	1	0.0007492151079821139	63	False
Lipid metabolism.fatty acid metabolism.fatty acid transport	0.0006493506493506494	1	0.0004043383122443155	34	True
Lipid metabolism.fatty acid metabolism.fatty acid degradation	0.003246753246753247	5	0.0012486918466368567	105	True
Lipid metabolism.glycerolipid metabolism.phosphatidate homeostasis	0.0025974025974025974	4	0.0013676148796498905	115	True
Lipid metabolism.glycerolipid metabolism.glycerolipid degradation	0.0006493506493506494	1	0.0021168299876320046	178	False
Lipid metabolism.sphingolipid metabolism.ceramide biosynthesis	0.0006493506493506494	1	0.0006421843782703834	54	True
Lipid metabolism.lipid trafficking.endoplasmic reticulum - organelle lipid transfer	0.0006493506493506494	1	0.001355722576348587	114	False
Nucleotide metabolism.deoxynucleotides.biosynthesis	0.0006493506493506494	1	0.00022595376272476454	19	True
Coenzyme metabolism.tetrahydrofolate metabolism.dihydrofolate reductase *(DRTS)	0.0006493506493506494	1	0.00015459994291694415	13	True
Coenzyme metabolism.tetrahydrofolate metabolism.gamma-glutamyl hydrolase *(GGH)	0.001948051948051948	3	7.135381980782038e-05	6	True
Coenzyme metabolism.iron-sulfur cluster assembly machinery.mitochondrial ISC system	0.001948051948051948	3	0.0007254305013795071	61	True
Coenzyme metabolism.chlorophyll metabolism.chlorophyll biosynthesis	0.0025974025974025974	4	0.0005470459518599562	46	True
