Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
Photosynthesis.photorespiration.glycine decarboxylase complex	0.00045871559633027525	2	0.00017838454951955095	15	True
Cellular respiration.glycolysis.cytosolic glycolysis	0.00022935779816513763	1	0.0009394919608029683	79	False
Cellular respiration.tricarboxylic acid cycle.isocitrate dehydrogenase heterodimer	0.0009174311926605505	4	0.00014270763961564075	12	True
Cellular respiration.tricarboxylic acid cycle.succinate dehydrogenase complex	0.00045871559633027525	2	0.0004400152221482257	37	True
Cellular respiration.oxidative phosphorylation.NADH dehydrogenase complex	0.0006880733944954129	3	0.001771953191894206	149	False
Cellular respiration.oxidative phosphorylation.cytochrome c reductase complex	0.00022935779816513763	1	0.0007373228046808106	62	False
Carbohydrate metabolism.sucrose metabolism.biosynthesis	0.0009174311926605505	4	0.0006659689848729902	56	True
Carbohydrate metabolism.sucrose metabolism.degradation	0.0016055045871559634	7	0.0011178765103225193	94	True
Carbohydrate metabolism.mannose metabolism.phosphomannomutase	0.0006880733944954129	3	4.756921320521359e-05	4	True
Carbohydrate metabolism.oxidative pentose phosphate pathway.non-oxidative phase	0.00045871559633027525	2	0.00016649224621824755	14	True
Carbohydrate metabolism.nucleotide sugar biosynthesis.UDP-D-glucose 4-epimerase	0.0011467889908256881	5	0.00015459994291694415	13	True
Carbohydrate metabolism.nucleotide sugar biosynthesis.UDP-N-acetylglucosamine biosynthesis	0.0006880733944954129	3	0.00022595376272476454	19	True
Amino acid metabolism.glutamate group amino acid biosynthesis.glutamate-derived amino acids	0.0013761467889908258	6	0.001165445723527733	98	True
Amino acid metabolism.aspartate group amino acid biosynthesis.aspartate-derived amino acids	0.0022935779816513763	10	0.0019503377414137571	164	True
Amino acid metabolism.shikimate group amino acid biosynthesis.shikimate pathway	0.00022935779816513763	1	0.0005232613452573494	44	False
Amino acid metabolism.amino acid degradation.branched-chain amino acids	0.00022935779816513763	1	0.0009989534773094852	84	False
Amino acid metabolism.polyamine metabolism.polyamine transport	0.0009174311926605505	4	7.135381980782038e-05	6	True
Lipid metabolism.fatty acid metabolism.acetyl-CoA generation	0.00045871559633027525	2	0.0004756921320521359	40	False
