Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
Photosynthesis.photophosphorylation.photosystem II	0.006211180124223602	2	0.0030682142517362765	258	True
Cellular respiration.tricarboxylic acid cycle.2-oxoglutarate dehydrogenase complex	0.006211180124223602	2	0.00021406145942346114	18	True
Cellular respiration.oxidative phosphorylation.NADH dehydrogenase complex	0.003105590062111801	1	0.001771953191894206	149	True
Cellular respiration.oxidative phosphorylation.ATP synthase complex	0.003105590062111801	1	0.0009632765674055751	81	True
Carbohydrate metabolism.starch metabolism.biosynthesis	0.003105590062111801	1	0.0009513842641042718	80	True
Amino acid metabolism.polyamine metabolism.spermidine biosynthesis	0.006211180124223602	2	0.0004162306155456189	35	True
Lipid metabolism.glycerolipid metabolism.galactolipid biosynthesis	0.009316770186335404	3	0.00023784606602606794	20	True
Lipid metabolism.glycerolipid metabolism.glycerolipid degradation	0.018633540372670808	6	0.0021168299876320046	178	True
Lipid metabolism.sphingolipid metabolism.complex sphingolipid biosynthesis	0.003105590062111801	1	0.0004400152221482257	37	True
Coenzyme metabolism.molybdenum cofactor biosynthesis.molybdopterin biosynthesis	0.006211180124223602	2	0.00016649224621824755	14	True
Chromatin organisation.post-translational histone modification.histone acetylation	0.003105590062111801	1	0.0034844448672818953	293	False
Cell division.meiotic recombination.meiotic crossover	0.003105590062111801	1	0.0017124916753876891	144	True
DNA damage response.nucleotide excision repair (NER).preincision complex formation	0.003105590062111801	1	0.0002735229759299781	23	True
RNA biosynthesis.RNA polymerase II-dependent transcription.transcription initiation	0.003105590062111801	1	0.0010584149938160023	89	True
RNA biosynthesis.DNA-binding transcriptional regulation.basic DNA-binding domain	0.012422360248447204	4	0.009513842641042717	800	True
RNA biosynthesis.DNA-binding transcriptional regulation.beta-barrel DNA-binding domain	0.003105590062111801	1	0.002223860717343735	187	True
RNA processing.spliceosome-mediated pre-mRNA splicing.MAC/NTC spliceosome-associated complex	0.015527950310559006	5	0.0011892303301303396	100	True
RNA processing.tRNA modification.tRNA thiolation	0.006211180124223602	2	0.0003805537056417087	32	True
RNA processing.tRNA modification.tRNA editing	0.006211180124223602	2	0.0003210921891351917	27	True
RNA homeostasis.mRNA surveillance pathways.No-Cap Decay (NCD) pathway	0.009316770186335404	3	8.324612310912378e-05	7	True
RNA homeostasis.mRNA surveillance pathways.mRNA adenine deamination-dependent decay	0.003105590062111801	1	0.00010703072971173057	9	True
RNA homeostasis.mRNA silencing.miRNA pathway	0.006211180124223602	2	0.002247645323946342	189	True
RNA homeostasis.post-transcriptional regulator activities.CID-type posttranscriptional regulator activity	0.006211180124223602	2	0.0009989534773094852	84	True
RNA homeostasis.post-transcriptional regulator activities.N6-methyladenosine-dependent regulation	0.003105590062111801	1	0.0009513842641042718	80	True
RNA homeostasis.RNA transport.RNA nuclear export	0.003105590062111801	1	0.0014746456093616212	124	True
Protein biosynthesis.ribosome biogenesis.rRNA maturation	0.003105590062111801	1	0.002307106840452859	194	True
Protein biosynthesis.ribosome biogenesis.large ribosomal subunit (LSU)	0.003105590062111801	1	0.005506136428503472	463	False
Protein biosynthesis.ribosome biogenesis.small ribosomal subunit (SSU)	0.012422360248447204	4	0.004947198173342213	416	True
Protein biosynthesis.organellar translation machinery.mitochondrial ribosome biogenesis	0.006211180124223602	2	0.002663875939491961	224	True
