Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
Cellular respiration.glycolysis.cytosolic glycolysis	0.0024271844660194173	4	0.0009394919608029683	79	True
Cellular respiration.pyruvate oxidation.mitochondrial pyruvate dehydrogenase complex	0.0018203883495145632	3	0.0004637998287508325	39	True
Cellular respiration.tricarboxylic acid cycle.isocitrate dehydrogenase heterodimer	0.0018203883495145632	3	0.00014270763961564075	12	True
Cellular respiration.tricarboxylic acid cycle.succinyl-CoA ligase heterodimer	0.003033980582524272	5	0.00019027685282085435	16	True
Cellular respiration.tricarboxylic acid cycle.succinate dehydrogenase complex	0.0012135922330097086	2	0.0004400152221482257	37	True
Cellular respiration.tricarboxylic acid cycle.fumarate hydratase *(FUM1/2)	0.0018203883495145632	3	8.324612310912378e-05	7	True
Cellular respiration.tricarboxylic acid cycle.NAD-dependent malate dehydrogenase *(mMDH1/2)	0.0012135922330097086	2	4.756921320521359e-05	4	True
Cellular respiration.oxidative phosphorylation.NADH dehydrogenase complex	0.00424757281553398	7	0.001771953191894206	149	True
Cellular respiration.oxidative phosphorylation.cytochrome c reductase complex	0.00424757281553398	7	0.0007373228046808106	62	True
Cellular respiration.oxidative phosphorylation.ATP synthase complex	0.00849514563106796	14	0.0009632765674055751	81	True
Carbohydrate metabolism.sucrose metabolism.translocation	0.0036407766990291263	6	7.135381980782038e-05	6	True
Carbohydrate metabolism.sucrose metabolism.degradation	0.0012135922330097086	2	0.0011178765103225193	94	True
Carbohydrate metabolism.nucleotide sugar biosynthesis.UDP-L-arabinose biosynthesis	0.003033980582524272	5	0.0003924460089430121	33	True
Carbohydrate metabolism.nucleotide sugar biosynthesis.UDP-N-acetylglucosamine biosynthesis	0.0012135922330097086	2	0.00022595376272476454	19	True
Amino acid metabolism.pyruvate group amino acid biosynthesis.alanine biosynthesis	0.0006067961165048543	1	0.00010703072971173057	9	True
Amino acid metabolism.amino acid degradation.threonine degradation	0.0024271844660194173	4	0.0002735229759299781	23	True
Lipid metabolism.fatty acid metabolism.acetyl-CoA carboxylation	0.0006067961165048543	1	5.9461516506516985e-05	5	True
Lipid metabolism.fatty acid metabolism.mitochondrial fatty acid synthase (mtFAS) system	0.0006067961165048543	1	0.0002735229759299781	23	True
Lipid metabolism.fatty acid metabolism.fatty acid desaturation	0.0018203883495145632	3	0.0007492151079821139	63	True
Lipid metabolism.fatty acid metabolism.fatty acid degradation	0.0006067961165048543	1	0.0012486918466368567	105	False
Lipid metabolism.glycerolipid metabolism.triacylglycerol biosynthesis	0.0024271844660194173	4	0.0003210921891351917	27	True
Lipid metabolism.glycerolipid metabolism.phosphatidylethanolamine metabolism	0.0006067961165048543	1	0.0007016458947769003	59	False
Lipid metabolism.glycerolipid metabolism.phosphatidylcholine biosynthesis	0.0006067961165048543	1	0.0005827228617638665	49	True
Lipid metabolism.glycerolipid metabolism.glycerolipid degradation	0.003033980582524272	5	0.0021168299876320046	178	True
Lipid metabolism.sphingolipid metabolism.ceramide biosynthesis	0.003033980582524272	5	0.0006421843782703834	54	True
Lipid metabolism.sphingolipid metabolism.complex sphingolipid biosynthesis	0.00424757281553398	7	0.0004400152221482257	37	True
Lipid metabolism.phytosterol metabolism.plant sterol pathway	0.0006067961165048543	1	0.0006540766815716869	55	False
Lipid metabolism.phytosterol metabolism.phytosterol C4-demethylation complex	0.0054611650485436895	9	0.0004994767386547426	42	True
Lipid metabolism.lipid trafficking.acyl-CoA-binding protein activities	0.00424757281553398	7	0.00013081533631433735	11	True
