Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
Photosynthesis.photophosphorylation.linear electron flow	0.0005249343832020997	1	0.0003567690990391019	30	True
Photosynthesis.photophosphorylation.chlororespiration	0.0005249343832020997	1	0.0011297688136238226	95	False
Photosynthesis.calvin cycle.transketolase	0.003674540682414698	7	8.324612310912378e-05	7	True
Photosynthesis.photorespiration.glycine decarboxylase complex	0.0005249343832020997	1	0.00017838454951955095	15	True
Photosynthesis.photorespiration.serine hydroxymethyltransferase *(SHM)	0.0010498687664041995	2	2.3784606602606793e-05	2	True
Photosynthesis.photorespiration.hydroxypyruvate reductase activities	0.0005249343832020997	1	0.00020216915612215775	17	True
Photosynthesis.CAM/C4 photosynthesis.carbon dioxide-bicarbonate equilibrium	0.003674540682414698	7	0.0005232613452573494	44	True
Cellular respiration.pyruvate oxidation.mitochondrial pyruvate dehydrogenase complex	0.0026246719160104987	5	0.0004637998287508325	39	True
Cellular respiration.oxidative phosphorylation.alternative NAD(P)H dehydrogenase activities	0.0005249343832020997	1	0.0004043383122443155	34	True
Cellular respiration.oxidative phosphorylation.cytochrome c oxidase complex	0.0005249343832020997	1	0.0008800304442964514	74	False
Carbohydrate metabolism.sucrose metabolism.degradation	0.0005249343832020997	1	0.0011178765103225193	94	False
Carbohydrate metabolism.starch metabolism.biosynthesis	0.0010498687664041995	2	0.0009513842641042718	80	True
Carbohydrate metabolism.starch metabolism.degradation	0.0026246719160104987	5	0.0010108457806107887	85	True
Carbohydrate metabolism.trehalose metabolism.trehalose-6-phosphate phosphatase	0.004199475065616798	8	0.0004875844353534393	41	True
Carbohydrate metabolism.oligosaccharide metabolism.galactinol synthase *(GolS)	0.0015748031496062992	3	4.756921320521359e-05	4	True
Carbohydrate metabolism.oligosaccharide metabolism.galactinol-sucrose galactosyltransferase *(RFS1/6)	0.0010498687664041995	2	7.135381980782038e-05	6	True
Carbohydrate metabolism.mannose metabolism.phosphosugar phosphatase	0.0015748031496062992	3	8.324612310912378e-05	7	True
Carbohydrate metabolism.oxidative pentose phosphate pathway.non-oxidative phase	0.003674540682414698	7	0.00016649224621824755	14	True
Carbohydrate metabolism.fermentation.acetic acid biosynthesis	0.0005249343832020997	1	0.0002497383693273713	21	True
Amino acid metabolism.glutamate group amino acid biosynthesis.histidine biosynthesis	0.0005249343832020997	1	0.0004281229188469223	36	True
Amino acid metabolism.aspartate group amino acid biosynthesis.aspartate-derived amino acids	0.004724409448818898	9	0.0019503377414137571	164	True
Amino acid metabolism.pyruvate group amino acid biosynthesis.pyruvate-derived amino acids	0.0010498687664041995	2	0.0006540766815716869	55	True
Amino acid metabolism.serine group amino acid biosynthesis.cysteine biosynthesis	0.0010498687664041995	2	0.00016649224621824755	14	True
Amino acid metabolism.serine group amino acid biosynthesis.glycine biosynthesis	0.0010498687664041995	2	0.00013081533631433735	11	True
Amino acid metabolism.amino acid degradation.branched-chain amino acids	0.0010498687664041995	2	0.0009989534773094852	84	True
Amino acid metabolism.polyamine metabolism.putrescine biosynthesis	0.0005249343832020997	1	0.00020216915612215775	17	True
Amino acid metabolism.polyamine metabolism.spermidine biosynthesis	0.004724409448818898	9	0.0004162306155456189	35	True
Amino acid metabolism.polyamine metabolism.polyamine degradation	0.0010498687664041995	2	0.00023784606602606794	20	True
Lipid metabolism.fatty acid metabolism.citrate shuttle	0.0005249343832020997	1	0.0005827228617638665	49	False
Lipid metabolism.fatty acid metabolism.fatty acid transport	0.004724409448818898	9	0.0004043383122443155	34	True
Lipid metabolism.fatty acid metabolism.fatty acid degradation	0.005774278215223097	11	0.0012486918466368567	105	True
Lipid metabolism.glycerolipid metabolism.phosphatidylethanolamine metabolism	0.0010498687664041995	2	0.0007016458947769003	59	True
Lipid metabolism.glycerolipid metabolism.phosphatidylcholine biosynthesis	0.0026246719160104987	5	0.0005827228617638665	49	True
Lipid metabolism.glycerolipid metabolism.glycerolipid degradation	0.006299212598425197	12	0.0021168299876320046	178	True
Lipid metabolism.sphingolipid metabolism.ceramide biosynthesis	0.0015748031496062992	3	0.0006421843782703834	54	True
Lipid metabolism.sphingolipid metabolism.sphingolipid transport	0.0015748031496062992	3	0.00021406145942346114	18	True
Lipid metabolism.lipid-A biosynthesis.tetra-acyl-disaccharide kinase *(LpxK)	0.002099737532808399	4	4.756921320521359e-05	4	True
Lipid metabolism.lipid trafficking.endoplasmic reticulum - organelle lipid transfer	0.0010498687664041995	2	0.001355722576348587	114	False
Lipid metabolism.cytoplasmic lipid droplet-associated activities.STEROLEOSIN-type dehydrogenase *(SLO/HSD)	0.0015748031496062992	3	0.0002497383693273713	21	True
Lipid metabolism.cytoplasmic lipid droplet-associated activities.associated factor *(LDAP)	0.0005249343832020997	1	4.756921320521359e-05	4	True
Nucleotide metabolism.purines.salvage pathway	0.0005249343832020997	1	0.0003924460089430121	33	True
Nucleotide metabolism.purines.catabolism	0.0010498687664041995	2	0.0005113690419560461	43	True
Nucleotide metabolism.pyrimidines.catabolism	0.002099737532808399	4	0.0002854152792312815	24	True
Nucleotide metabolism.deoxynucleotides.salvage pathway	0.0005249343832020997	1	0.0002497383693273713	21	True
Coenzyme metabolism.molybdenum cofactor biosynthesis.modification	0.0026246719160104987	5	9.513842641042717e-05	8	True
Coenzyme metabolism.coenzyme A metabolism.pantothenate kinase	0.0005249343832020997	1	7.135381980782038e-05	6	True
Coenzyme metabolism.coenzyme A metabolism.phosphopantetheine adenylyl transferase	0.0005249343832020997	1	4.756921320521359e-05	4	True
Coenzyme metabolism.tetrahydrofolate metabolism.tetrahydrofolate deformylase *(PURU)	0.0010498687664041995	2	2.3784606602606793e-05	2	True
