Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
Photosynthesis.photophosphorylation.photosystem II	0.01963522839303319	239	0.0030682142517362765	258	True
Photosynthesis.photophosphorylation.cytochrome b6/f complex	0.0032040749260598095	39	0.0004756921320521359	40	True
Photosynthesis.photophosphorylation.Cytb6/f to PS-I electron carriers	0.00024646730200460074	3	3.567690990391019e-05	3	True
Photosynthesis.photophosphorylation.photosystem I	0.003286230693394676	40	0.0004875844353534393	41	True
Photosynthesis.photophosphorylation.linear electron flow	0.001807426881367072	22	0.0003567690990391019	30	True
Photosynthesis.photophosphorylation.cyclic electron flow	0.0011501807426881367	14	0.00016649224621824755	14	True
Photosynthesis.photophosphorylation.chlororespiration	0.007147551758133421	87	0.0011297688136238226	95	True
Photosynthesis.photophosphorylation.ATP synthase complex	0.0032040749260598095	39	0.0005232613452573494	44	True
Photosynthesis.calvin cycle.ribulose-1,5-bisphosphat carboxylase/oxygenase (RuBisCo) activity	0.004025632599408478	49	0.0007729997145847207	65	True
Photosynthesis.calvin cycle.phosphoglycerate kinase	0.00032862306933946765	4	4.756921320521359e-05	4	True
Photosynthesis.calvin cycle.glyceraldehyde 3-phosphate dehydrogenase (GAPDH) activity	0.0005750903713440683	7	8.324612310912378e-05	7	True
Photosynthesis.calvin cycle.triosephosphate isomerase	8.215576733486691e-05	1	2.3784606602606793e-05	2	True
Photosynthesis.calvin cycle.fructose-1,6-bisphosphate aldolase	0.0006572461386789353	8	0.00015459994291694415	13	True
Photosynthesis.calvin cycle.fructose-1,6-bisphosphatase	8.215576733486691e-05	1	1.1892303301303397e-05	1	True
Photosynthesis.calvin cycle.sedoheptulose-1,7-bisphosphatase	8.215576733486691e-05	1	1.1892303301303397e-05	1	True
Photosynthesis.calvin cycle.ribose 5-phosphate isomerase	8.215576733486691e-05	1	1.1892303301303397e-05	1	True
Photosynthesis.calvin cycle.phosphopentose epimerase	0.0004107788366743345	5	0.00010703072971173057	9	True
Photosynthesis.calvin cycle.phosphoribulokinase *(PRK)	0.0004929346040092015	6	7.135381980782038e-05	6	True
Photosynthesis.calvin cycle.NADPH-dependent malate dehydrogenase *(NADP-MDH)	0.00016431153466973383	2	2.3784606602606793e-05	2	True
Photosynthesis.photorespiration.phosphoglycolate phosphatase *(PGLP1/2))	0.00016431153466973383	2	2.3784606602606793e-05	2	True
Photosynthesis.photorespiration.glycolate oxidase *(GOX1/2/3)	8.215576733486691e-05	1	0.00011892303301303397	10	False
Photosynthesis.photorespiration.aminotransferase activities	0.0006572461386789353	8	9.513842641042717e-05	8	True
Photosynthesis.photorespiration.glycine decarboxylase complex	0.0004929346040092015	6	0.00017838454951955095	15	True
Photosynthesis.photorespiration.hydroxypyruvate reductase activities	0.0004107788366743345	5	0.00020216915612215775	17	True
Photosynthesis.photorespiration.glycerate kinase *(GLYK)	0.0004107788366743345	5	5.9461516506516985e-05	5	True
Photosynthesis.photorespiration.glycerate:glycolate transporter *(PLGG1)	0.00024646730200460074	3	3.567690990391019e-05	3	True
Photosynthesis.CAM/C4 photosynthesis.carbon dioxide-bicarbonate equilibrium	0.0006572461386789353	8	0.0005232613452573494	44	True
Photosynthesis.CAM/C4 photosynthesis.phosphoenolpyruvate (PEP) carboxylase activity	0.00032862306933946765	4	0.00016649224621824755	14	True
Cellular respiration.glycolysis.cytosolic glycolysis	0.0017252711140322051	21	0.0009394919608029683	79	True
Cellular respiration.glycolysis.methylglyoxal/glyoxal degradation	0.001807426881367072	22	0.0003210921891351917	27	True
Cellular respiration.pyruvate oxidation.mitochondrial pyruvate dehydrogenase complex	0.0013966480446927375	17	0.0004637998287508325	39	True
Cellular respiration.tricarboxylic acid cycle.aconitase *(ACO)	0.00016431153466973383	2	0.0002497383693273713	21	False
Cellular respiration.tricarboxylic acid cycle.2-oxoglutarate dehydrogenase complex	0.0004929346040092015	6	0.00021406145942346114	18	True
Cellular respiration.tricarboxylic acid cycle.succinyl-CoA ligase heterodimer	0.0005750903713440683	7	0.00019027685282085435	16	True
Cellular respiration.tricarboxylic acid cycle.succinate dehydrogenase complex	0.00024646730200460074	3	0.0004400152221482257	37	False
Cellular respiration.oxidative phosphorylation.NADH dehydrogenase complex	0.0006572461386789353	8	0.001771953191894206	149	False
Cellular respiration.oxidative phosphorylation.alternative NAD(P)H dehydrogenase activities	8.215576733486691e-05	1	0.0004043383122443155	34	False
Cellular respiration.oxidative phosphorylation.cytochrome c reductase complex	0.0004107788366743345	5	0.0007373228046808106	62	False
Cellular respiration.oxidative phosphorylation.cytochrome c oxidase complex	0.00024646730200460074	3	0.0008800304442964514	74	False
Cellular respiration.oxidative phosphorylation.ATP synthase complex	8.215576733486691e-05	1	0.0009632765674055751	81	False
Carbohydrate metabolism.sucrose metabolism.triose-phosphate translocation	0.00024646730200460074	3	4.756921320521359e-05	4	True
Carbohydrate metabolism.sucrose metabolism.biosynthesis	0.0013144922773578706	16	0.0006659689848729902	56	True
Carbohydrate metabolism.sucrose metabolism.degradation	0.00032862306933946765	4	0.0011178765103225193	94	False
Carbohydrate metabolism.sucrose metabolism.regulation of sucrose/starch partitioning	0.00032862306933946765	4	4.756921320521359e-05	4	True
Carbohydrate metabolism.starch metabolism.granule initiation	0.00032862306933946765	4	0.00015459994291694415	13	True
Carbohydrate metabolism.starch metabolism.biosynthesis	0.0021360499507065396	26	0.0009513842641042718	80	True
Carbohydrate metabolism.starch metabolism.degradation	0.0032040749260598095	39	0.0010108457806107887	85	True
Carbohydrate metabolism.trehalose metabolism.trehalose-6-phosphate synthase	0.00024646730200460074	3	7.135381980782038e-05	6	True
Carbohydrate metabolism.trehalose metabolism.trehalose-6-phosphate phosphatase	0.0007394019060138022	9	0.0004875844353534393	41	True
Carbohydrate metabolism.oligosaccharide metabolism.alpha-galactosidase *(AGAL)	0.0004929346040092015	6	0.00019027685282085435	16	True
Carbohydrate metabolism.ribose metabolism.ribokinase	0.00016431153466973383	2	2.3784606602606793e-05	2	True
Carbohydrate metabolism.oxidative pentose phosphate pathway.oxidative phase	0.00032862306933946765	4	0.0003805537056417087	32	False
Carbohydrate metabolism.oxidative pentose phosphate pathway.non-oxidative phase	8.215576733486691e-05	1	0.00016649224621824755	14	False
Carbohydrate metabolism.gluconeogenesis.phosphoenolpyruvate carboxykinase	0.00024646730200460074	3	7.135381980782038e-05	6	True
Carbohydrate metabolism.gluconeogenesis.pyruvate orthophosphate dikinase activity	0.0006572461386789353	8	0.00013081533631433735	11	True
Carbohydrate metabolism.gluconeogenesis.cytosolic fructose-1,6-bisphosphatase	0.00016431153466973383	2	4.756921320521359e-05	4	True
Carbohydrate metabolism.fermentation.acetic acid biosynthesis	0.0007394019060138022	9	0.0002497383693273713	21	True
Carbohydrate metabolism.fermentation.lactic acid fermentation	0.00016431153466973383	2	3.567690990391019e-05	3	True
Carbohydrate metabolism.plastidial glycolysis.ATP-dependent phosphofructokinase *(PFK5)	0.0004107788366743345	5	0.00011892303301303397	10	True
Carbohydrate metabolism.plastidial glycolysis.fructose-1,6-bisphosphate aldolase *(FBA1)	0.0006572461386789353	8	0.00015459994291694415	13	True
Carbohydrate metabolism.plastidial glycolysis.triosephosphate isomerase *(TIM)	8.215576733486691e-05	1	2.3784606602606793e-05	2	True
Carbohydrate metabolism.plastidial glycolysis.glyceraldehyde 3-phosphate dehydrogenase *(GAPcp1)	0.00016431153466973383	2	5.9461516506516985e-05	5	True
Carbohydrate metabolism.plastidial glycolysis.phosphoglycerate kinase *(PGK1)	0.00032862306933946765	4	4.756921320521359e-05	4	True
Carbohydrate metabolism.plastidial glycolysis.2,3-bisphosphoglycerate-dependent phosphoglycerate mutase *(GPMA1/2)	0.00016431153466973383	2	7.135381980782038e-05	6	True
Carbohydrate metabolism.plastidial glycolysis.phosphoenolpyruvate enolase *(ENO1)	0.00016431153466973383	2	2.3784606602606793e-05	2	True
Carbohydrate metabolism.plastidial glycolysis.pyruvate kinase *(PKP1)	0.00024646730200460074	3	0.00015459994291694415	13	True
Carbohydrate metabolism.nucleotide sugar biosynthesis.GDP-L-fucose biosynthesis	0.00016431153466973383	2	8.324612310912378e-05	7	True
Carbohydrate metabolism.nucleotide sugar biosynthesis.UDP-D-galacturonic acid biosynthesis	0.0006572461386789353	8	0.00023784606602606794	20	True
Carbohydrate metabolism.nucleotide sugar biosynthesis.nucleotide rhamnose biosynthesis	0.0007394019060138022	9	0.00017838454951955095	15	True
Carbohydrate metabolism.nucleotide sugar biosynthesis.UDP-L-arabinose biosynthesis	8.215576733486691e-05	1	0.0003924460089430121	33	False
Amino acid metabolism.glutamate group amino acid biosynthesis.glutamate-derived amino acids	0.0004929346040092015	6	0.001165445723527733	98	False
Amino acid metabolism.glutamate group amino acid biosynthesis.histidine biosynthesis	0.0004107788366743345	5	0.0004281229188469223	36	False
Amino acid metabolism.aspartate group amino acid biosynthesis.asparagine biosynthesis	0.0007394019060138022	9	0.0003448767957377985	29	True
Amino acid metabolism.aspartate group amino acid biosynthesis.aspartate-derived amino acids	0.0031219191587249424	38	0.0019503377414137571	164	True
Amino acid metabolism.pyruvate group amino acid biosynthesis.alanine biosynthesis	8.215576733486691e-05	1	0.00010703072971173057	9	False
Amino acid metabolism.pyruvate group amino acid biosynthesis.pyruvate-derived amino acids	0.0010680249753532698	13	0.0006540766815716869	55	True
Amino acid metabolism.serine group amino acid biosynthesis.non-photorespiratory serine	0.00032862306933946765	4	0.00022595376272476454	19	True
Amino acid metabolism.serine group amino acid biosynthesis.cysteine biosynthesis	8.215576733486691e-05	1	0.00016649224621824755	14	False
Amino acid metabolism.serine group amino acid biosynthesis.glycine biosynthesis	0.0004107788366743345	5	0.00013081533631433735	11	True
Amino acid metabolism.shikimate group amino acid biosynthesis.shikimate pathway	0.0007394019060138022	9	0.0005232613452573494	44	True
Amino acid metabolism.shikimate group amino acid biosynthesis.phenylalanine and tyrosine	0.00032862306933946765	4	0.0004756921320521359	40	False
Amino acid metabolism.shikimate group amino acid biosynthesis.tryptophan biosynthesis	0.0007394019060138022	9	0.0004281229188469223	36	True
Amino acid metabolism.amino acid degradation.arginine degradation	0.00024646730200460074	3	0.00017838454951955095	15	True
Amino acid metabolism.amino acid degradation.gamma-aminobutyrate (GABA)	0.0007394019060138022	9	0.00023784606602606794	20	True
Amino acid metabolism.amino acid degradation.proline degradation	0.0004929346040092015	6	0.00014270763961564075	12	True
Amino acid metabolism.amino acid degradation.lysine degradation	0.0004929346040092015	6	0.00019027685282085435	16	True
Amino acid metabolism.amino acid degradation.threonine degradation	0.00032862306933946765	4	0.0002735229759299781	23	True
Amino acid metabolism.amino acid degradation.cysteine degradation	0.00024646730200460074	3	0.0002497383693273713	21	False
Amino acid metabolism.amino acid degradation.branched-chain amino acids	0.0012323365100230035	15	0.0009989534773094852	84	True
Amino acid metabolism.amino acid degradation.aromatic amino acids	0.0014788038120276043	18	0.000570830558462563	48	True
