Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
Photosynthesis.photophosphorylation.photosystem II	0.0014204545454545455	1	0.0030682142517362765	258	False
Photosynthesis.photophosphorylation.chlororespiration	0.002840909090909091	2	0.0011297688136238226	95	True
Photosynthesis.calvin cycle.ribulose-1,5-bisphosphat carboxylase/oxygenase (RuBisCo) activity	0.014204545454545454	10	0.0007729997145847207	65	True
Photosynthesis.CAM/C4 photosynthesis.phosphoenolpyruvate (PEP) carboxylase activity	0.0014204545454545455	1	0.00016649224621824755	14	True
Cellular respiration.oxidative phosphorylation.cytochrome c oxidase complex	0.005681818181818182	4	0.0008800304442964514	74	True
Carbohydrate metabolism.starch metabolism.granule initiation	0.0014204545454545455	1	0.00015459994291694415	13	True
Carbohydrate metabolism.starch metabolism.biosynthesis	0.0014204545454545455	1	0.0009513842641042718	80	True
Carbohydrate metabolism.starch metabolism.degradation	0.0014204545454545455	1	0.0010108457806107887	85	True
Carbohydrate metabolism.nucleotide sugar biosynthesis.UDP-L-arabinose biosynthesis	0.0014204545454545455	1	0.0003924460089430121	33	True
Carbohydrate metabolism.nucleotide sugar biosynthesis.UDP-N-acetylglucosamine biosynthesis	0.005681818181818182	4	0.00022595376272476454	19	True
Amino acid metabolism.glutamate group amino acid biosynthesis.glutamate-derived amino acids	0.002840909090909091	2	0.001165445723527733	98	True
Amino acid metabolism.glutamate group amino acid biosynthesis.histidine biosynthesis	0.007102272727272727	5	0.0004281229188469223	36	True
Amino acid metabolism.aspartate group amino acid biosynthesis.asparagine biosynthesis	0.007102272727272727	5	0.0003448767957377985	29	True
Amino acid metabolism.pyruvate group amino acid biosynthesis.pyruvate-derived amino acids	0.005681818181818182	4	0.0006540766815716869	55	True
Amino acid metabolism.shikimate group amino acid biosynthesis.tryptophan biosynthesis	0.002840909090909091	2	0.0004281229188469223	36	True
Amino acid metabolism.polyamine metabolism.cadaverine biosynthesis	0.007102272727272727	5	5.9461516506516985e-05	5	True
Lipid metabolism.fatty acid metabolism.citrate shuttle	0.0014204545454545455	1	0.0005827228617638665	49	True
Lipid metabolism.fatty acid metabolism.mitochondrial fatty acid synthase (mtFAS) system	0.009943181818181818	7	0.0002735229759299781	23	True
Lipid metabolism.fatty acid metabolism.fatty acid desaturation	0.004261363636363636	3	0.0007492151079821139	63	True
Lipid metabolism.fatty acid metabolism.fatty acid transport	0.005681818181818182	4	0.0004043383122443155	34	True
Lipid metabolism.glycerolipid metabolism.phosphatidylcholine biosynthesis	0.0014204545454545455	1	0.0005827228617638665	49	True
Lipid metabolism.sphingolipid metabolism.sphingolipid phosphorylation	0.0014204545454545455	1	0.0003210921891351917	27	True
Nucleotide metabolism.pyrimidines.phosphotransfers	0.002840909090909091	2	0.00017838454951955095	15	True
Nucleotide metabolism.deoxynucleotides.salvage pathway	0.008522727272727272	6	0.0002497383693273713	21	True
Nucleotide metabolism.non-canonical nucleotide metabolism.nucleoside monophosphoramidate hydrolase *(HINT1/2)	0.0014204545454545455	1	4.756921320521359e-05	4	True
Coenzyme metabolism.tetrahydrofolate metabolism.folyl-polyglutamate synthetase	0.007102272727272727	5	9.513842641042717e-05	8	True
Coenzyme metabolism.FMN/FAD biosynthesis.FAD synthetase *(RibF)	0.002840909090909091	2	2.3784606602606793e-05	2	True
Coenzyme metabolism.iron-sulfur cluster assembly machinery.mitochondrial ISC system	0.004261363636363636	3	0.0007254305013795071	61	True
Coenzyme metabolism.chlorophyll metabolism.chlorophyll biosynthesis	0.009943181818181818	7	0.0005470459518599562	46	True
Secondary metabolism.terpenoid biosynthesis.carotenoid biosynthesis	0.0014204545454545455	1	0.000689753591475597	58	True
Redox homeostasis.reactive oxygen scavenging.superoxide dismutase activities	0.0014204545454545455	1	0.0003567690990391019	30	True
Redox homeostasis.glutathione-based redox regulation.glutathione S-transferase activities	0.004261363636363636	3	0.0012962610598420703	109	True
Redox homeostasis.thiol-based redox regulation.thioredoxin activities	0.002840909090909091	2	0.0006302920749690801	53	True
Redox homeostasis.thiol-based redox regulation.S-sulfocysteine synthase *(CS26)	0.0014204545454545455	1	1.1892303301303397e-05	1	True
Redox homeostasis.reactive electrophilic lipid homeostasis.oxylipin generation	0.0014204545454545455	1	0.00013081533631433735	11	True
Phytohormone action.auxin.perception and signal transduction	0.009943181818181818	7	0.0019265531348111502	162	True
Phytohormone action.auxin.transport	0.002840909090909091	2	0.0008205689277899343	69	True
Phytohormone action.brassinosteroid.perception and signal transduction	0.0014204545454545455	1	0.001141661116925126	96	True
Phytohormone action.cytokinin.transport	0.0014204545454545455	1	4.756921320521359e-05	4	True
Phytohormone action.gibberellin.biosynthesis	0.0014204545454545455	1	0.0004756921320521359	40	True
Phytohormone action.gibberellin.conjugation and degradation	0.0014204545454545455	1	0.00017838454951955095	15	True
Phytohormone action.jasmonic acid.biosynthesis	0.002840909090909091	2	0.0005827228617638665	49	True
