Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
Photosynthesis.photophosphorylation.photosystem II	0.00016874789065136686	1	0.0030682142517362765	258	False
Photosynthesis.photophosphorylation.chlororespiration	0.0005062436719541006	3	0.0011297688136238226	95	False
Photosynthesis.CAM/C4 photosynthesis.phosphoenolpyruvate (PEP) carboxylase activity	0.00016874789065136686	1	0.00016649224621824755	14	True
Cellular respiration.glycolysis.cytosolic glycolysis	0.001181235234559568	7	0.0009394919608029683	79	True
Cellular respiration.tricarboxylic acid cycle.succinate dehydrogenase complex	0.00016874789065136686	1	0.0004400152221482257	37	False
Cellular respiration.oxidative phosphorylation.NADH dehydrogenase complex	0.0006749915626054674	4	0.001771953191894206	149	False
Cellular respiration.oxidative phosphorylation.alternative NAD(P)H dehydrogenase activities	0.0010124873439082012	6	0.0004043383122443155	34	True
Cellular respiration.oxidative phosphorylation.cytochrome c hemoprotein activity	0.00016874789065136686	1	0.0003805537056417087	32	False
Cellular respiration.oxidative phosphorylation.cytochrome c oxidase complex	0.00016874789065136686	1	0.0008800304442964514	74	False
Carbohydrate metabolism.sucrose metabolism.biosynthesis	0.0003374957813027337	2	0.0006659689848729902	56	False
Carbohydrate metabolism.sucrose metabolism.degradation	0.0026999662504218697	16	0.0011178765103225193	94	True
Carbohydrate metabolism.starch metabolism.biosynthesis	0.0006749915626054674	4	0.0009513842641042718	80	False
Carbohydrate metabolism.trehalose metabolism.trehalose-6-phosphate phosphatase	0.0005062436719541006	3	0.0004875844353534393	41	True
Carbohydrate metabolism.sorbitol metabolism.sorbitol dehydrogenase	0.0008437394532568343	5	5.9461516506516985e-05	5	True
Carbohydrate metabolism.mannose metabolism.phosphomannose isomerase *(PMI)	0.00016874789065136686	1	8.324612310912378e-05	7	True
Carbohydrate metabolism.oxidative pentose phosphate pathway.oxidative phase	0.00016874789065136686	1	0.0003805537056417087	32	False
Carbohydrate metabolism.oxidative pentose phosphate pathway.non-oxidative phase	0.00016874789065136686	1	0.00016649224621824755	14	True
Carbohydrate metabolism.gluconeogenesis.phosphoenolpyruvate carboxykinase	0.00016874789065136686	1	7.135381980782038e-05	6	True
Carbohydrate metabolism.nucleotide sugar biosynthesis.GDP-D-mannose biosynthesis	0.0008437394532568343	5	0.0002616306726286747	22	True
Carbohydrate metabolism.nucleotide sugar biosynthesis.UDP-D-glucuronic acid biosynthesis	0.0016874789065136687	10	0.0003329844924364951	28	True
Carbohydrate metabolism.nucleotide sugar biosynthesis.UDP-D-galacturonic acid biosynthesis	0.0006749915626054674	4	0.00023784606602606794	20	True
Carbohydrate metabolism.nucleotide sugar biosynthesis.UDP-D-xylose biosynthesis	0.0005062436719541006	3	0.0002616306726286747	22	True
Carbohydrate metabolism.nucleotide sugar biosynthesis.nucleotide rhamnose biosynthesis	0.0010124873439082012	6	0.00017838454951955095	15	True
Carbohydrate metabolism.nucleotide sugar biosynthesis.UDP-L-arabinose biosynthesis	0.0016874789065136687	10	0.0003924460089430121	33	True
Carbohydrate metabolism.nucleotide sugar biosynthesis.UDP-D-glucose 4-epimerase	0.0003374957813027337	2	0.00015459994291694415	13	True
Carbohydrate metabolism.nucleotide sugar biosynthesis.UDP-N-acetylglucosamine biosynthesis	0.0005062436719541006	3	0.00022595376272476454	19	True
Amino acid metabolism.glutamate group amino acid biosynthesis.glutamate-derived amino acids	0.0006749915626054674	4	0.001165445723527733	98	False
Amino acid metabolism.glutamate group amino acid biosynthesis.histidine biosynthesis	0.0003374957813027337	2	0.0004281229188469223	36	False
Amino acid metabolism.aspartate group amino acid biosynthesis.aspartate-derived amino acids	0.0020249746878164025	12	0.0019503377414137571	164	True
Amino acid metabolism.serine group amino acid biosynthesis.non-photorespiratory serine	0.0005062436719541006	3	0.00022595376272476454	19	True
Amino acid metabolism.serine group amino acid biosynthesis.cysteine biosynthesis	0.0003374957813027337	2	0.00016649224621824755	14	True
Amino acid metabolism.shikimate group amino acid biosynthesis.shikimate pathway	0.0003374957813027337	2	0.0005232613452573494	44	False
Amino acid metabolism.shikimate group amino acid biosynthesis.phenylalanine and tyrosine	0.0005062436719541006	3	0.0004756921320521359	40	True
Amino acid metabolism.amino acid degradation.aromatic amino acids	0.0005062436719541006	3	0.000570830558462563	48	False
Amino acid metabolism.polyamine metabolism.polyamine degradation	0.0003374957813027337	2	0.00023784606602606794	20	True
Lipid metabolism.fatty acid metabolism.citrate shuttle	0.0013499831252109348	8	0.0005827228617638665	49	True
Lipid metabolism.fatty acid metabolism.plastidial fatty acid synthase (ptFAS) system	0.001181235234559568	7	0.000808676624488631	68	True
Lipid metabolism.fatty acid metabolism.endoplasmic reticulum-localized fatty acid elongase (FAE) system	0.0005062436719541006	3	0.0006183997716677766	52	False
Lipid metabolism.fatty acid metabolism.fatty acid desaturation	0.00016874789065136686	1	0.0007492151079821139	63	False
Lipid metabolism.fatty acid metabolism.fatty acid transport	0.00016874789065136686	1	0.0004043383122443155	34	False
Lipid metabolism.fatty acid metabolism.fatty acid degradation	0.0008437394532568343	5	0.0012486918466368567	105	False
Lipid metabolism.glycerolipid metabolism.phosphatidate homeostasis	0.0016874789065136687	10	0.0013676148796498905	115	True
