Gene	Name	Description
Zm00001eb001140	dpr1	dihydrodipicolinate reductase1
Zm00001eb001140	dpr1	dihydrodipicolinate reductase1
Zm00001eb001140	dpr1	dihydrodipicolinate reductase1
Zm00001eb001650	Zm00001d027422	
Zm00001eb001950	pba1	PBA1 homolog1
Zm00001eb002270	gpb1	glyceraldehyde phosphate dehydrogenase B1
Zm00001eb002270	gpb1	glyceraldehyde phosphate dehydrogenase B1
Zm00001eb002560	cl61826_1	
Zm00001eb005330		rpe1
Zm00001eb005330		rpe1
Zm00001eb005330	rpe1	Ribulose-phosphate 3-epimerase1
Zm00001eb005330		rpe1
Zm00001eb005330	rpe1	Ribulose-phosphate 3-epimerase1
Zm00001eb011940	fbp2	fructose bisphosphatase2
Zm00001eb014950	LOC100280294	
Zm00001eb014960	LOC118471883	
Zm00001eb015950	C0P7G8	
Zm00001eb017170	si945022d06a	
Zm00001eb021390	pet2	photosynthetic electron transport2
Zm00001eb021390	pet2	photosynthetic electron transport2
Zm00001eb021390	pet2	photosynthetic electron transport2
Zm00001eb021390	pet2	photosynthetic electron transport2
Zm00001eb021830	Zm00001d029720	
Zm00001eb022040	IDP1986	
Zm00001eb024030	cl7048_1a	
Zm00001eb025140	IDP6962	
Zm00001eb028550	ppd1	photo-system b P domain-containing protein1
Zm00001eb028550	ppd1	photo-system b P domain-containing protein1
Zm00001eb029520	si603029f11	
Zm00001eb029690	bsd2	bundle sheath defective2
Zm00001eb029690	bsd2	bundle sheath defective2
Zm00001eb029690	bsd2	bundle sheath defective2
Zm00001eb034260	pco084394	
Zm00001eb038530	pgr5	proton gradient regulation 5 homolog
Zm00001eb038930	mdh6	malate dehydrogenase6
Zm00001eb038930	mdh6	malate dehydrogenase6
Zm00001eb039150	LOC118476108	
Zm00001eb039850	hcf244	high chlorophyll fluorescence244
Zm00001eb039850	hcf244	high chlorophyll fluorescence244
Zm00001eb041460	Zm00001d032197	
Zm00001eb042520	LOC100285487	
Zm00001eb049630	lhcb12	light harvesting chlorophyll a/b binding protein12
Zm00001eb049640	lhcb9	light harvesting chlorophyll binding protein9
Zm00001eb049640	lhcb9	light harvesting chlorophyll binding protein9
Zm00001eb049640	lhcb9	light harvesting chlorophyll binding protein9
Zm00001eb049640	lhcb9	light harvesting chlorophyll binding protein9
Zm00001eb049640	lhcb9	light harvesting chlorophyll binding protein9
Zm00001eb049640	lhcb9	light harvesting chlorophyll binding protein9
Zm00001eb052650	fdx7	ferredoxin7
Zm00001eb053770	LOC103643842	
Zm00001eb057170	Zm00001d034007	
Zm00001eb058790	ccs1	C-type cytochrome synthesis protein1
Zm00001eb061710	Zm00001d034541	
Zm00001eb061720	Zm00001d034541	
Zm00001eb063250	raf2	rubisco accumulation factor2
Zm00001eb064870	pco102265b	
Zm00001eb065010	Zm00001d034904	
Zm00001eb065010	Zm00001d034904	
