Community	Unknown	Annotated	Functions
C0	Zm00001eb078560	Known	binding.membrane.Unknown.chloroplast
C0	Zm00001eb292080	Zm00001eb407050.Zm00001eb006360.Zm00001eb402980.Zm00001eb179440.Zm00001eb109970.Zm00001eb369340.Zm00001eb396410.Zm00001eb253720	intracellular membrane-bounded organelle.membrane-bounded organelle.regulation of primary metabolic process.intracellular organelle.organelle.regulation of macromolecule metabolic process.regulation of metabolic process.nucleobase-containing compound metabolic process.primary metabolic process.regulation of nucleobase-containing compound metabolic process
C0	Zm00001eb076470	Known	epidermal cell differentiation.positive regulation of secondary cell wall biogenesis.response to abscisic acid.cell adhesion.DNA-templated transcription.anatomical structure formation involved in morphogenesis.response to cytokinin.glucuronoxylan metabolic process.cell wall organization.sequence-specific DNA binding.actin nucleation.nucleus.response to brassinosteroid.response to chitin.cellular response to auxin stimulus.protoxylem development.meristem initiation.root hair cell differentiation.defense response to fungus.trichome morphogenesis.xylem vessel member cell differentiation.transcription cis-regulatory region binding.protein homodimerization activity.xylan biosynthetic process.response to carbohydrate.animal organ development.protein heterodimerization activity.DNA-binding transcription factor activity.positive regulation of DNA-templated transcription
C0	Zm00001eb442960	Zm00001eb003930.Zm00001eb001260.Zm00001eb369310.Zm00001eb079910	
C0	Zm00001eb367100	Zm00001eb291710.Zm00001eb379410.Zm00001eb328260.Zm00001eb403860.Zm00001eb216890	DNA metabolic process
C0	Zm00001eb051910	Known	cellular developmental process.animal organ morphogenesis.sequence-specific DNA binding.regulation of DNA-templated transcription.DNA-templated transcription.nucleus.tissue development.DNA-binding transcription factor activity
C0	Zm00001eb401510	Zm00001eb265540.Zm00001eb031700.Zm00001eb130450.Zm00001eb318590.Zm00001eb380390.Zm00001eb181150.Zm00001eb194770.Zm00001eb075990.Zm00001eb188030	binding.cellular process.biological_process.cellular anatomical structure.cellular_component.molecular_function.biological regulation.regulation of cell population proliferation.regulation of biological process.multicellular organismal process
C0	Zm00001eb219540	Zm00001eb022220.Zm00001eb189220.Zm00001eb040070	
C0	Zm00001eb022000	Known	acid-amino acid ligase activity.modification-dependent protein catabolic process.SUMO transferase activity.ATP binding.response to abscisic acid.biosynthetic process.regulation of biological process.nucleic acid metabolic process.protein ubiquitination.cytoplasm.protein sumoylation.nucleus.embryo development ending in seed dormancy.metabolic process
C0	Zm00001eb139780	Known	telomere maintenance in response to DNA damage.microtubule cytoskeleton organization.male meiotic nuclear division.somatic cell DNA recombination.nucleotide binding.mitotic cell cycle.kinetochore.response to gamma radiation.nucleus.reciprocal meiotic recombination.meiotic DNA double-strand break formation.double-strand break repair via homologous recombination.membrane.embryo sac egg cell differentiation.regulation of telomere maintenance.homologous chromosome pairing at meiosis.M phase.cell division.cytoskeletal motor activity.sister chromatid cohesion.mitotic recombination
C0	Zm00001eb341280	Zm00001eb040130	
