number for sorting purposes,protein name,family,gene ID,synonym,clone,all gene IDs,subgenome
1,ZmABI1,ABI3-VP1,Zm00001eb143690,VP1,pUT3351,Zm00001eb143690 Zm00001d042396 GRMZM2G133398,1
2,ZmABI2,ABI3-VP1,Zm00001eb427970,ABI2,pUT3663,Zm00001d026005 Zm00001eb427970 GRMZM2G018485,2
3,ZmABI3,ABI3-VP1,Zm00001eb066270,ABI3,pUT3236,Zm00001eb066270 Zm00001d001838 GRMZM2G149940,1
4,ZmABI4,ABI3-VP1,Zm00001eb051330,ABI4,pUT4675,Zm00001d033313 GRMZM2G098063 Zm00001eb051330,1
5,ZmABI5,ABI3-VP1,Zm00001eb218990,ABI5,pUT4673,Zm00001d013722 Zm00001eb218990 GRMZM2G320754,2
6,ZmABI6,ABI3-VP1,,ABI6,,GRMZM2G160224,1
7,ZmABI7,ABI3-VP1,Zm00001eb006360,ABI7,pUT1400,GRMZM2G109480 Zm00001eb006360 Zm00001d027939,1
8,ZmABI8,ABI3-VP1,Zm00001eb001550,ABI8,pUT3977,Zm00001eb001550 GRMZM2G082227 Zm00001d027409,1
9,ZmABI9,ABI3-VP1,,ABI9,,Zm00001d030909 GRMZM2G065478 GRMZM2G522066 Zm00001d030908,
10,ZmABI10,ABI3-VP1,,ABI10,,AC193767.3_FG003 Zm00001d026694,2
11,ZmABI11,ABI3-VP1,,ABI11,,Zm00001d030909 GRMZM2G065478 GRMZM2G522066 Zm00001d030908,
12,ZmABI12,ABI3-VP1,Zm00001eb073010,ABI12,pUT5633,GRMZM2G102059 Zm00001d002562 Zm00001eb073010,1
13,ZmABI13,ABI3-VP1,,ABI13,,GRMZM2G018336,
14,ZmABI14,ABI3-VP1,Zm00001eb171080,ABI14,pUT3421,Zm00001eb171080 Zm00001d049367 Zm00001eb171070 GRMZM2G106673 Zm00001d049369,2
15,ZmABI15,ABI3-VP1,,ABI15,,GRMZM2G361376,
16,ZmABI16,ABI3-VP1,Zm00001eb250760,ABI16,,GRMZM2G024948 Zm00001d017618 Zm00001eb250760,1
18,ZmABI18,ABI3-VP1,Zm00001eb219020,ABI18,pUT6240,Zm00001eb219020 Zm00001d013723 GRMZM2G019956,2
19,ZmABI19,ABI3-VP1,Zm00001eb361400,ABI19,pUT6084,Zm00001eb361400 Zm00001eb361390 GRMZM2G035701 Zm00001d011712,
20,ZmABI20,ABI3-VP1,Zm00001eb361750,ABI20,,Zm00001eb361750 Zm00001d011745 GRMZM2G313737,
21,ZmABI21,ABI3-VP1,Zm00001eb421100,ABI21,,Zm00001eb421100 GRMZM2G126194 Zm00001d025233,2
22,ZmABI22,ABI3-VP1,Zm00001eb324300,ABI22,pUT6177,GRMZM2G008356 Zm00001eb324300 Zm00001d021790,1
23,ZmABI23,ABI3-VP1,Zm00001eb415750,ABI23,,GRMZM2G180168 Zm00001d024545 Zm00001eb415750,1
24,ZmABI24,ABI3-VP1,Zm00001eb051350,ABI24,pUT4672,GRMZM2G088427 Zm00001eb051350 Zm00001d033314 GRMZM2G088413 Zm00001eb051340,1
24,ZmABI24,ABI3-VP1,Zm00001eb051350,ABI24,pUT4671,GRMZM2G088427 Zm00001eb051350 Zm00001d033314 GRMZM2G088413 Zm00001eb051340,1
25,ZmABI25,ABI3-VP1,Zm00001eb051370,ABI25,,Zm00001eb051370 GRMZM2G344521 Zm00001d033324,1
26,ZmABI26,ABI3-VP1,Zm00001eb414160,ABI26,pUT3664,Zm00001d024354 GRMZM2G423393 Zm00001eb414160,
27,ZmABI27,ABI3-VP1,Zm00001eb033180,ABI27,pUT4556,Zm00001eb033180 GRMZM2G123461 Zm00001d031225,1
28,ZmABI28,ABI3-VP1,Zm00001eb088080,ABI28,pUT5890,Zm00001eb088080 GRMZM2G109879 Zm00001d004358,
29,ZmABI29,ABI3-VP1,Zm00001eb270000,ABI29,,GRMZM2G084173 Zm00001d036079 Zm00001eb270000,
31,ZmABI31,ABI3-VP1,Zm00001eb144270,ABI31,pUT5308,Zm00001d042460 Zm00001eb144270 GRMZM2G177244,1
32,ZmABI32,ABI3-VP1,Zm00001eb330690,ABI32,,Zm00001eb330690 GRMZM2G158162 Zm00001d022440,1
34,ZmABI34,ABI3-VP1,Zm00001eb022070,ABI34,pUT3981,Zm00001d029749 GRMZM2G125095 Zm00001eb022070,1
35,ZmABI35,ABI3-VP1,Zm00001eb246280,ABI35,,GRMZM5G834874 Zm00001eb246280 Zm00001d017112,
36,ZmABI36,ABI3-VP1,Zm00001eb168870,ABI36,pUT3053,Zm00001d049094 Zm00001eb168870 GRMZM2G001048,1
37,ZmABI37,ABI3-VP1,Zm00001eb268680,ABI37,pUT3665,GRMZM2G027253 Zm00001eb268680 Zm00001d035903,2
38,ZmABI38,ABI3-VP1,Zm00001eb393690,ABI38,pUT3666,GRMZM2G142999 Zm00001eb393690 Zm00001d047359,2
39,ZmABI39,ABI3-VP1,Zm00001eb111570,ABI39,pUT5309,GRMZM2G172621 Zm00001d007173 Zm00001eb111570,2
40,ZmABI40,ABI3-VP1,Zm00001eb197370,ABI40,pUT3229,Zm00001eb197370 GRMZM2G328742 Zm00001d052591,
41,ZmABI41,ABI3-VP1,Zm00001eb406950,ABI41,,GRMZM5G805685 Zm00001eb406950 Zm00001d023446,
42,ZmABI42,ABI3-VP1,Zm00001eb347830,ABI42,,Zm00001eb347830 GRMZM2G098443 Zm00001d010077,
43,ZmABI43,ABI3-VP1,Zm00001eb401610,ABI43,pUT4674,GRMZM2G028794 Zm00001d048244 Zm00001eb401610,2
44,ZmABI44,ABI3-VP1,Zm00001eb412120,ABI44,,Zm00001eb412120 GRMZM2G405170 Zm00001d024103,
45,ZmABI45,ABI3-VP1,Zm00001eb290900,ABI45,,Zm00001d038504 Zm00001eb290900 GRMZM2G174610,1
46,ZmABI46,ABI3-VP1,Zm00001eb030510,ABI46,pUT6781,Zm00001d030907 Zm00001eb030510 GRMZM2G065496,
47,ZmABI47,ABI3-VP1,Zm00001eb198710,ABI47,pUT3121,Zm00001d052750 GRMZM2G125596 Zm00001eb198710,
48,ZmABI48,ABI3-VP1,Zm00001eb161000,ABI48,pUT3090,Zm00001eb161000 Zm00001d044355 GRMZM2G111123,
49,ZmABI49,ABI3-VP1,Zm00001eb259870,ABI49,,Zm00001eb259870 Zm00001d034965 GRMZM2G405699,1
50,ZmABI50,ABI3-VP1,Zm00001eb268800,ABI50,,GRMZM2G102938 GRMZM2G103078 Zm00001d035921 Zm00001d035922 Zm00001eb268800,2
51,ZmABI51,ABI3-VP1,Zm00001eb413890,ABI51,pUT3113,Zm00001eb413890 GRMZM2G173321 Zm00001d024321 Zm00001d024320,
52,ZmABI52,ABI3-VP1,Zm00001eb051360,,,Zm00001d033315 Zm00001eb051360 GRMZM2G130016,1
53,ZmABI53,ABI3-VP1,Zm00001eb101730,,,Zm00001d006004 Zm00001eb101730 Zm00001eb101720 Zm00001d006003,
54,ZmABI54,ABI3-VP1,Zm00001eb419760,,,Zm00001eb419760 Zm00001d025041,
55,ZmABI55,ABI3-VP1,Zm00001eb202300,,,Zm00001d053166 Zm00001eb202300,
56,ZmABI56,ABI3-VP1,Zm00001eb269990,,,Zm00001d036077 Zm00001eb269990,
57,ZmABI57,ABI3-VP1,Zm00001eb187370,,,Zm00001d051471 Zm00001eb187370 AC216872.3_FG002,2
58,ZmABI58,ABI3-VP1,Zm00001eb415200,,,Zm00001eb415200,
59,ZmABI59,ABI3-VP1,Zm00001eb343850,,,GRMZM2G413647 Zm00001d009582 Zm00001eb343850,
60,ZmABI60,ABI3-VP1,Zm00001eb166640,,,Zm00001eb166640 Zm00001d048815,
61,ZmABI61,ABI3-VP1,Zm00001eb106940,,,Zm00001d006597 Zm00001eb106940,
10061,ZmEREB2,AP2/ERF-AP2,Zm00001eb429870,ZmERFAP2_44,pUT1139,Zm00001d026191 Zm00001eb429870 GRMZM2G080516,
10062,ZmEREB3,AP2/ERF-AP2,Zm00001eb103100,ZmERFAP2_52,pUT6279,GRMZM2G124037 Zm00001eb103100 Zm00001d006169,2
10063,ZmEREB4,AP2/ERF-AP2,Zm00001eb011550,ZmERFAP2_66,pUT4682,Zm00001eb011550 Zm00001d028524 GRMZM2G015281,1
10064,ZmEREB5,AP2/ERF-AP2,Zm00001eb186480,ZmERFAP2_20,pUT4683,GRMZM2G048621 Zm00001eb186480 Zm00001d051350,2
10066,ZmEREB7,AP2/ERF-AP2,Zm00001eb193670,ZmERFAP2_87,pUT6304,GRMZM2G173771 Zm00001d052167 Zm00001eb193670,2
10069,ZmEREB10,AP2/ERF-AP2,Zm00001eb250530,ZmERFAP2_64,pUT6792,Zm00001d017591 Zm00001eb250530 Zm00001eb250540 GRMZM2G434203,1
10070,ZmEREB11,AP2/ERF-AP2,Zm00001eb062460,ZmERFAP2_67,pUT5791,Zm00001eb062460 Zm00001d034629 GRMZM5G862109,
10071,ZmEREB12,AP2/ERF-AP2,Zm00001eb344200,ZmERFAP2_77,pUT6557,Zm00001d009622 GRMZM2G100982 Zm00001eb344200,2
10072,ZmEREB13,AP2/ERF-AP2,Zm00001eb193550,ZmERFAP2_32,pUT5676,Zm00001eb193550 GRMZM2G011110 Zm00001d052152,2
10073,ZmEREB14,AP2/ERF-AP2,Zm00001eb192960,ZmERFAP2_16,pUT5450,GRMZM2G018398 Zm00001d052087 Zm00001eb192960,2
10074,ZmEREB15,AP2/ERF-AP2,Zm00001eb192320,ZmERFAP2_86,pUT4564,Zm00001d052026 Zm00001eb192320 GRMZM2G111415,2
10075,ZmEREB16,AP2/ERF-AP2,Zm00001eb250560,ZmERFAP2_25,pUT5966,Zm00001eb250560 GRMZM2G137341 Zm00001d017592,1
10080,ZmEREB21,AP2/ERF-AP2,Zm00001eb422470,ZmERFAP2_40,,Zm00001eb422470 GRMZM2G175525 Zm00001d025409,2
10083,ZmEREB24,AP2/ERF-AP2,Zm00001eb067980,ZmERFAP2_31,,Zm00001eb067980 Zm00001eb067970 GRMZM2G086573 Zm00001d002025,1
10085,ZmEREB26,AP2/ERF-AP2,Zm00001eb015020,ZmERFAP2_69,pUT5454,GRMZM2G317160 Zm00001eb015020 Zm00001d028919,1
10089,ZmEREB30,AP2/ERF-AP2,Zm00001eb249440,ZmERFAP2_56,pUT5771,GRMZM5G842961 Zm00001eb249440 Zm00001d017477,
10091,ZmEREB32,AP2/ERF-AP2,Zm00001eb182300,ZmERFAP2_61,pUT4950,Zm00001d050787 Zm00001eb182300 GRMZM2G139740,2
10092,ZmEREB33,AP2/ERF-AP2,Zm00001eb377180,ZmERFAP2_34,pUT4043,GRMZM2G073982 Zm00001d045378 Zm00001eb377180,1
10093,ZmEREB34,AP2/ERF-AP2,Zm00001eb296430,ZmERFAP2_79,pUT5361,Zm00001eb296430 GRMZM5G846057 Zm00001d039077,
10094,ZmEREB35,AP2/ERF-AP2,Zm00001eb007420,ZmERFAP2_26,pUT4221,Zm00001eb007420 GRMZM2G415251 Zm00001eb007430 Zm00001d028070,
