Community	Unknown	Annotated	Functions
C0	Zm00001eb434130	Known	negative regulation of DNA-templated transcription.nucleus.nucleic acid binding.DNA-templated transcription
C0	Zm00001eb118360	Zm00001eb094890.Zm00001eb237230.Zm00001eb237220.Zm00001eb380730	lactoylglutathione lyase activity.carbon-sulfur lyase activity.response to stress.cellular detoxification of methylglyoxal.aldehyde catabolic process.ketone catabolic process.methylglyoxal catabolic process to lactate.methylglyoxal metabolic process.cellular detoxification of aldehyde.methylglyoxal catabolic process
C0	Zm00001eb278360	Known	RNA methylation.regulation of DNA-templated transcription.nucleus.ribonucleoside triphosphate phosphatase activity.DNA replication.double-stranded methylated DNA binding.metabolic process.chromatin binding.DNA binding.DNA-templated transcription.negative regulation of nucleobase-containing compound metabolic process.origin recognition complex.ATP binding.response to sucrose.7-methylguanosine RNA capping.double fertilization forming a zygote and endosperm.zinc ion binding
C0	Zm00001eb041560	Known	proteolysis.hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides.multicellular organism development.ceramide metabolic process.Unknown.membrane.binding.regulation of biological process
C0	Zm00001eb199890	Zm00001eb403050	
C0	Zm00001eb435170		
C0	Zm00001eb125630	Known	response to karrikin.cell wall.meristem maintenance.endoplasmic reticulum membrane.viral capsid.cytosol.Unknown.Unknown.oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor.cellular response to phosphate starvation.oxidoreductase activity, acting on metal ions.copper ion binding.bilirubin oxidase activity.Golgi apparatus.Unknown.response to chemical.animal organ development.extracellular region
C0	Zm00001eb435710		
C0	Zm00001eb316390	Known	sodium:proton antiporter activity.lipid transport.Golgi cisterna membrane.sodium ion transmembrane transport.proton transmembrane transport.intra-Golgi vesicle-mediated transport.endosome membrane.membrane.protein import into peroxisome matrix.fatty acid beta-oxidation.regulation of pH.lithium ion transport
C0	Zm00001eb032820	Known	Unknown.lactoylglutathione lyase activity.primary metabolic process.chloroplast.Unknown.metal ion binding.dioxygenase activity
C0	Zm00001eb079390	Zm00001eb334740.Zm00001eb153030	
C0	Zm00001eb428940	Known	regulation of DNA-templated transcription.nucleic acid binding.multicellular organism development.intracellular anatomical structure.transcription by RNA polymerase II.membrane.zinc ion binding
C0	Zm00001eb202990	Zm00001eb084720.Zm00001eb434130.Zm00001eb074280.Zm00001eb287060.Zm00001eb141160	regulation of cellular process.regulation of biological process.macromolecule metabolic process.biological regulation.nucleus.hormone-mediated signaling pathway.macromolecule biosynthetic process.primary metabolic process.regulation of metabolic process.metabolic process
C0	Zm00001eb065650	Zm00001eb268090.Zm00001eb410890.Zm00001eb026440.Zm00001eb238670.Zm00001eb232010.Zm00001eb153030.Zm00001eb014120.Zm00001eb331550	cellular process.biological_process.cellular anatomical structure.cellular_component.molecular_function.catalytic activity.primary metabolic process.metabolic process.organophosphate metabolic process.nucleoside monophosphate metabolic process
C0	Zm00001eb167810	Known	purine nucleobase transmembrane transport.cellular process.adenine transport.guanine transport.membrane.purine nucleobase transmembrane transporter activity.nucleobase-containing compound transport.nucleobase-containing compound transmembrane transporter activity
C0	Zm00001eb172390	Zm00001eb165890.Zm00001eb003210.Zm00001eb356910.Zm00001eb000850.Zm00001eb047780.Zm00001eb104710	vitamin biosynthetic process.vitamin metabolic process.cellular process.biological_process.cellular anatomical structure.cellular_component.membrane-bounded organelle.intracellular membrane-bounded organelle.organelle.intracellular organelle
C0	Zm00001eb192960	Known	regulation of DNA-templated transcription.nucleus.response to fungus.hormone-mediated signaling pathway.detection of hypoxia.DNA-binding transcription factor activity.plasma membrane.metabolic process.DNA-templated transcription.sequence-specific DNA binding
C0	Zm00001eb419750	Zm00001eb119670.Zm00001eb173960.Zm00001eb100140.Zm00001eb138510	primary metabolic process.metabolic process.response to chemical.multicellular organismal process.cellular process.anatomical structure development.biological_process.cellular anatomical structure.cellular_component.binding
C0	Zm00001eb367670	Known	response to ethylene.response to chitin.response to carbohydrate.sphingolipid biosynthetic process.negative regulation of programmed cell death.protein targeting to membrane.trans-Golgi network.membrane fusion.Unknown.membrane.defense response to fungus.inositol phosphoceramide synthase activity.regulation of plant-type hypersensitive response
C0	Zm00001eb418990	Zm00001eb101480.Zm00001eb066190.Zm00001eb100340.Zm00001eb023930	macromolecule metabolic process.signal transduction.biological regulation.membrane.metabolic process.cellular process.biological_process.cellular anatomical structure.cellular_component.molecular_function
C0	Zm00001eb004030	Known	protein deneddylation.mitotic cell cycle.response to cadmium ion.cytosolic ribosome.photorespiration.microtubule-based movement.proteasome assembly.threonine-type endopeptidase activity.glucose catabolic process.response to salt stress.response to misfolded protein.plasma membrane.proteasome core complex, alpha-subunit complex.Unknown.mitotic G2 phase.nucleus.ATP hydrolysis activity.structural constituent of ribosome.photomorphogenesis.biological regulation.Unknown.gluconeogenesis.RNA nuclease activity.kinesin complex.microtubule motor activity.glycolytic process.ribosome assembly.cell cycle process.proteasome-mediated ubiquitin-dependent protein catabolic process.vacuolar membrane.fatty acid beta-oxidation
C0	Zm00001eb393670	Known	post-embryonic development.nucleus.protein dimerization activity.DNA-binding transcription factor activity.MAPK cascade.DNA-templated transcription.flower development.reproductive structure development.RNA polymerase II transcription regulatory region sequence-specific DNA binding.animal organ development.positive regulation of transcription by RNA polymerase II
C0	Zm00001eb393380	Zm00001eb400710.Zm00001eb315140.Zm00001eb400040.Zm00001eb194590	
C0	Zm00001eb354950	Zm00001eb362540.Zm00001eb081330.Zm00001eb177450.Zm00001eb014120.Zm00001eb115120	membrane.catalytic activity.primary metabolic process.metabolic process.cellular process.biological_process.cellular anatomical structure.cellular_component.molecular_function.intracellular anatomical structure
C0	Zm00001eb349770		
C0	Zm00001eb382830	Zm00001eb260820.Zm00001eb403780.Zm00001eb330460.Zm00001eb209360	cis-trans isomerase activity
C0	Zm00001eb437180		
C0	Zm00001eb039350	Known	plastid.chlorophyllase activity.vacuole.response to stimulus.Unknown.primary metabolic process.embryo development.chlorophyll catabolic process.membrane
C0	Zm00001eb313020	Zm00001eb251290.Zm00001eb095480.Zm00001eb278360.Zm00001eb006610.Zm00001eb190550	macromolecule metabolic process.nucleus.RNA processing.primary metabolic process.metabolic process.cellular process.biological_process.cellular anatomical structure.cellular_component.molecular_function
C0	Zm00001eb380210	Zm00001eb435650	
C0	Zm00001eb243170	Known	xylan biosynthetic process.response to stimulus.protein ubiquitination.ubiquitin protein ligase activity.proteasome-mediated ubiquitin-dependent protein catabolic process.membrane.glucuronoxylan metabolic process.biological regulation.zinc ion binding
C0	Zm00001eb298180	Known	cellulose biosynthetic process.Golgi vesicle transport.intracellular transport.endoplasmic reticulum.membrane
C0	Zm00001eb201930	Known	response to light stimulus.response to ethylene.DNA-binding transcription factor activity, RNA polymerase II-specific.plant-type hypersensitive response.Unknown.response to chitin.response to cadmium ion.response to bacterium.very long-chain fatty acid biosynthetic process.response to salt stress.response to jasmonic acid.transcription cis-regulatory region binding.chromatin binding.sequence-specific DNA binding.response to karrikin.nucleus.cell differentiation.response to carbohydrate.Unknown.Unknown.nucleic acid metabolic process.response to salicylic acid.response to abscisic acid.response to auxin.response to water deprivation.response to gibberellin.stomatal movement.regulation of transcription by RNA polymerase II
C0	Zm00001eb311750	Known	transaminase activity.establishment of localization.response to stimulus.calmodulin binding.membrane.DNA binding.Unknown.tricarboxylic acid cycle
C0	Zm00001eb126000	Zm00001eb229430.Zm00001eb066190.Zm00001eb128010.Zm00001eb260560	response to stimulus.primary metabolic process.phosphate-containing compound metabolic process.phosphorus metabolic process.pyridine nucleotide catabolic process.glycolytic process.ribonucleoside diphosphate catabolic process.ADP metabolic process.pyridine-containing compound catabolic process.ADP catabolic process
C0	Zm00001eb403240	Known	NAD(P)H dehydrogenase complex (plastoquinone).chloroplast thylakoid membrane.pentose-phosphate shunt.mRNA modification.catalytic activity.photosynthetic electron transport in photosystem I.animal organ morphogenesis.cell differentiation.positive regulation of DNA-templated transcription.anatomical structure formation involved in morphogenesis.signal transduction.carbohydrate binding.myo-inositol hexakisphosphate biosynthetic process.carbohydrate metabolic process.leaf morphogenesis
C0	Zm00001eb352600	Zm00001eb253970.Zm00001eb097200	
C0	Zm00001eb080850	Known	phosphatidylglycerol biosynthetic process.amine metabolic process.thylakoid membrane organization.vegetative to reproductive phase transition of meristem.tyrosyl-tRNA aminoacylation.tyrosine-tRNA ligase activity.ketone metabolic process.cytosol.chloroplast stroma.RNA binding.embryo development ending in seed dormancy.ATP binding.mitochondrion.plant ovule development.iron-sulfur cluster assembly.chloroplast organization
C0	Zm00001eb039140	Zm00001eb105270	
C0	Zm00001eb435070		
C0	Zm00001eb052910	Known	response to stimulus.plasma membrane.membrane.binding.regulation of biological process.cysteine biosynthetic process.transport
C0	Zm00001eb039150	Zm00001eb435650	
C0	Zm00001eb186860	Known	anatomical structure development.protein phosphorylation.protein-containing complex.signal transduction.protein serine/threonine kinase activity.acid-amino acid ligase activity.response to stress.protein ubiquitination.metabolic process.ATP binding.ubiquitin-protein transferase activity.ubiquitin ligase complex.multicellular organismal process
C0	Zm00001eb068470	Zm00001eb243170	
C0	Zm00001eb290370	Known	pyridoxal phosphate binding.L-arginine catabolic process to L-glutamate.Unknown.ketone metabolic process.photorespiration.alanine-glyoxylate transaminase activity.plasma membrane.response to cadmium ion.vacuolar membrane.cell wall modification involved in abscission.Unknown.cellular response to nitrogen levels.mitochondrion.amine metabolic process
C0	Zm00001eb237230	Known	response to cold.stromule.methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione.chloroplast stroma.lactoylglutathione lyase activity.primary metabolic process.thylakoid lumen.metal ion binding
C0	Zm00001eb307770	Zm00001eb128010.Zm00001eb227460.Zm00001eb260560.Zm00001eb171440.Zm00001eb177450.Zm00001eb334740	protein metabolic process.membrane.catalytic activity.primary metabolic process.metabolic process.cellular process.biological_process.cellular anatomical structure.cellular_component.molecular_function
C0	Zm00001eb039910	Zm00001eb272840.Zm00001eb389570.Zm00001eb067700.Zm00001eb331550.Zm00001eb197370.Zm00001eb088940	cellular process.biological_process.cellular anatomical structure.cellular_component.molecular_function.regulation of cellular process.regulation of biological process.membrane.binding.biological regulation
C0	Zm00001eb425670	Zm00001eb331550.Zm00001eb153830.Zm00001eb194260.Zm00001eb014120.Zm00001eb064120.Zm00001eb403050	pyridine nucleotide catabolic process.glycolytic process.ribonucleoside diphosphate catabolic process.ADP metabolic process.pyridine-containing compound catabolic process.ADP catabolic process.purine nucleoside diphosphate catabolic process.nucleoside diphosphate catabolic process.purine ribonucleoside diphosphate catabolic process.pyruvate metabolic process
C0	Zm00001eb097200	Known	Unknown.NAD binding.nucleobase-containing compound metabolic process.Unknown.membrane.glyoxylate reductase (NADH) activity.phosphoglycerate dehydrogenase activity.mitochondrion.biological regulation
C0	Zm00001eb209360	Known	FK506 binding.peptidyl-prolyl cis-trans isomerase activity.endoplasmic reticulum membrane.response to stimulus.metabolic process.protein peptidyl-prolyl isomerization.membrane.regulation of biological process.chloroplast thylakoid lumen.Unknown
C0	Zm00001eb319220	Zm00001eb330460.Zm00001eb271860	
C0	Zm00001eb435030		
C0	Zm00001eb105060	Known	nucleic acid binding.chloroplast stroma.asparaginyl-tRNA aminoacylation.asparagine-tRNA ligase activity.ATP binding.mitochondrion.plant ovule development
C0	Zm00001eb313390	Known	spermine biosynthetic process.protein targeting to vacuole.Unknown.endosomal transport.coumarin biosynthetic process.spermidine biosynthetic process.cytosol.vesicle-mediated transport.membrane fusion.adenosylmethionine decarboxylase activity.ubiquinone metabolic process.Unknown.response to wounding.viral genome replication.modified amino acid biosynthetic process.polyamine catabolic process.small molecule biosynthetic process.plant organ development
C0	Zm00001eb206250	Known	Unknown.RNA-templated DNA biosynthetic process.RNA metabolic process.purine nucleobase transport.multicellular organismal process.DNA replication.intracellular anatomical structure.gene expression.metabolic process.RNA binding.membrane.RNA-directed DNA polymerase activity.zinc ion binding
C0	Zm00001eb152500	Known	tube development.protein phosphorylation.anatomical structure formation involved in morphogenesis.cytosol.protein serine/threonine kinase activity.response to abscisic acid.pollen tube growth.metabolic process.stomatal movement.post-translational protein modification.membrane.ATP binding.plant-type cell wall modification.calcium-mediated signaling
C0	Zm00001eb022330	Known	protein dephosphorylation.response to cold.nucleus.cytoplasm.regulation of defense response to virus.response to chitin.response to carbohydrate.signal transduction.response to abscisic acid.metabolic process.Unknown.response to water deprivation.post-translational protein modification.protein serine/threonine phosphatase activity.metal ion binding.Unknown
C0	Zm00001eb101360	Known	animal organ development.regulation of DNA-templated transcription.nucleus.protein dimerization activity.DNA-binding transcription factor activity.DNA-templated transcription.regulation of growth.positive regulation of flower development.sequence-specific DNA binding
C0	Zm00001eb347800	Zm00001eb100340.Zm00001eb081330.Zm00001eb074280	cell wall macromolecule metabolic process
C0	Zm00001eb101660	Known	photosynthetic NADP+ reduction.amine metabolic process.positive regulation of biological process.protein stabilization.chlorophyll binding.metal ion transport.photosynthetic electron transport in photosystem I.intracellular monoatomic cation homeostasis.cellular response to stress.photosystem I stabilization.Unknown.chloroplast photosystem I.macromolecule modification.chloroplast envelope.membrane.post-transcriptional regulation of gene expression.cysteine biosynthetic process.cellular developmental process
C0	Zm00001eb370310	Zm00001eb096060.Zm00001eb366040	
C0	Zm00001eb102000	Known	response to cold.Unknown.plasma membrane.response to cadmium ion.oxidoreductase activity, acting on CH-OH group of donors.primary metabolic process.Unknown.cinnamoyl-CoA reductase activity.small molecule biosynthetic process.lignin biosynthetic process
