Community	Target(unknown)	Annotated	Functions
C0	Zm00001eb137020	Zm00001eb128830.Zm00001eb157270.Zm00001eb011640.Zm00001eb272420.Zm00001eb293660.Zm00001eb424940	primary metabolic process.metabolic process.biological_process.cellular process.cellular anatomical structure.cellular_component.molecular_function.biosynthetic process.binding.organelle
C0	Zm00001eb362170	Known	urea transmembrane transport.cell tip growth.chloroplast envelope.columella.hydrogen peroxide transmembrane transport.anatomical structure formation involved in morphogenesis.urea transmembrane transporter activity.protein storage vacuole.glucose catabolic process.response to cold.central vacuole.response to cadmium ion.response to salt stress.Golgi apparatus.anthocyanin accumulation in tissues in response to UV light.hyperosmotic response.plasma membrane.response to desiccation.monoatomic ion transmembrane transport.Golgi organization.endoplasmic reticulum.glycolytic process.defense response to bacterium.root hair elongation.cysteine biosynthetic process.regulation of hormone levels.epidermal cell differentiation.intracellular monoatomic cation homeostasis.response to fructose.hydrogen peroxide catabolic process.multidimensional cell growth.water channel activity.plant-type vacuole membrane.calcium ion transport.polyamine catabolic process.cellular response to hydrogen peroxide.response to abscisic acid.Unknown.water transport.phenylpropanoid metabolic process
C0	Zm00001eb197030	Known	peptidyl-tyrosine dephosphorylation.MAP kinase phosphatase activity.multicellular organism development.phosphorylation.membrane.protein tyrosine phosphatase activity.Unknown.metabolic process.protein tyrosine/serine/threonine phosphatase activity.response to stimulus
C0	Zm00001eb011640	Known	Golgi apparatus.response to molecule of fungal origin.sphingosine N-acyltransferase activity.Unknown.ceramide biosynthetic process.membrane.alcohol biosynthetic process.very long-chain fatty acid biosynthetic process.sphingoid biosynthetic process.endoplasmic reticulum membrane.organelle membrane.plasma membrane.sterol biosynthetic process.long-chain fatty acid biosynthetic process
C0	Zm00001eb293680	Zm00001eb293670.Zm00001eb424940.Zm00001eb128830.Zm00001eb272420.Zm00001eb157270.Zm00001eb011640	organelle.intracellular organelle.primary metabolic process.metabolic process.biological_process.cellular process.cellular anatomical structure.cellular_component.molecular_function.carboxylic acid metabolic process
C0	Zm00001eb424940	Known	nucleoid.amine metabolic process.glucose catabolic process.isocitrate dehydrogenase (NAD+) activity.response to cadmium ion.Unknown.response to salt stress.acetyl-CoA catabolic process.vacuole organization.isocitrate dehydrogenase complex (NAD+).Golgi organization.apoplast.pentose-phosphate shunt.glycolytic process.tricarboxylic acid cycle.magnesium ion binding.ketone metabolic process.NADPH regeneration.photorespiration.NAD binding.isocitrate metabolic process.intracellular membraneless organelle
C0	Zm00001eb202550	Zm00001eb186790	
C0	Zm00001eb224870	Zm00001eb424940.Zm00001eb293670.Zm00001eb128830.Zm00001eb157270.Zm00001eb197030.Zm00001eb011640.Zm00001eb272420	primary metabolic process.metabolic process.biological_process.cellular process.cellular anatomical structure.cellular_component.molecular_function.organelle.intracellular organelle.carboxylic acid metabolic process
C0	Zm00001eb186790	Known	response to oxidative stress.actin filament depolymerization.innate immune response-activating signaling pathway.actin binding.epidermal cell differentiation.mitochondrion.protein-containing complex.nucleus.actin filament.anatomical structure formation involved in morphogenesis.apoplast.trichoblast differentiation.chloroplast.animal organ development.defense response to bacterium.plasma membrane.response to cadmium ion
C0	Zm00001eb157270	Known	DNA-templated transcription.auxin-activated signaling pathway.DNA binding.post-embryonic development.nucleus.animal organ development.metabolic process.regulation of DNA-templated transcription.reproductive structure development
C0	Zm00001eb272420	Known	mitochondrion.membrane.multicellular organismal process.vacuolar membrane.autophagy.biological regulation.metal ion binding.establishment of localization.chloroplast.fatty acid beta-oxidation.cellular component organization
C0	Zm00001eb293670	Known	carbohydrate phosphorylation.cytosol.mitochondrion.membrane.intracellular glucose homeostasis.glucose metabolic process.mannokinase activity.alcohol metabolic process.ATP binding.response to chemical.glycolytic process.fructokinase activity.plastid.glucokinase activity.D-glucose binding
C0	Zm00001eb202560	Zm00001eb186790	
C0	Zm00001eb293660	Known	cell tip growth.plant-type cell wall organization.response to carbohydrate.protein phosphorylation.anatomical structure formation involved in morphogenesis.intracellular anatomical structure.Unknown.anther development.protein targeting to membrane.negative regulation of programmed cell death.anthocyanin accumulation in tissues in response to UV light.regulation of cell size.regulation of meristem growth.membrane.microtubule nucleation.response to ethylene.protein serine/threonine kinase activity.defense response by callose deposition.ATP binding.root hair elongation.respiratory burst involved in defense response.pattern specification process.membrane fusion.epidermal cell differentiation.plant-type cell wall biogenesis.multidimensional cell growth.polysaccharide biosynthetic process.plasma membrane.regulation of plant-type hypersensitive response.response to chitin.regulation of multicellular organismal development.auxin polar transport.intracellular signal transduction.abscisic acid-activated signaling pathway
C0	Zm00001eb128830	Known	anatomical structure formation involved in morphogenesis.amine metabolic process.isocitrate dehydrogenase (NAD+) activity.acetyl-CoA catabolic process.proteasome-mediated ubiquitin-dependent protein catabolic process.animal organ development.root hair elongation.tricarboxylic acid cycle.magnesium ion binding.proteasome assembly.biosynthetic process.epidermal cell differentiation.mitochondrion.response to fructose.response to cytokinin.ketone metabolic process.NAD binding.response to misfolded protein.isocitrate metabolic process.chloroplast.response to sucrose.response to glucose
C0	Zm00001eb318200	Zm00001eb128830.Zm00001eb157270.Zm00001eb011640.Zm00001eb272420.Zm00001eb424940.Zm00001eb197030.Zm00001eb293660	primary metabolic process.metabolic process.biological_process.cellular process.cellular anatomical structure.cellular_component.molecular_function.biosynthetic process.catalytic activity.binding
C0	Zm00001eb104850	Zm00001eb424940.Zm00001eb293670.Zm00001eb128830.Zm00001eb011640.Zm00001eb272420.Zm00001eb157270	organelle.intracellular organelle.primary metabolic process.metabolic process.biological_process.cellular process.cellular anatomical structure.cellular_component.molecular_function.carboxylic acid metabolic process
C0	Zm00001eb013250	Zm00001eb128830.Zm00001eb011640.Zm00001eb157270.Zm00001eb424940.Zm00001eb272420.Zm00001eb197030.Zm00001eb293660.Zm00001eb293670	primary metabolic process.metabolic process.biological_process.cellular process.cellular anatomical structure.cellular_component.molecular_function.catalytic activity.binding.response to stimulus
C1	Zm00001eb423160	Known	response to chitin.DNA-templated transcription.response to carbohydrate.DNA binding.nucleus.root cap development.plant-type secondary cell wall biogenesis.animal organ development.positive regulation of DNA-templated transcription
C1	Zm00001eb012120	Zm00001eb423160	cell wall organization or biogenesis.response to carbohydrate.positive regulation of metabolic process.nucleic acid biosynthetic process.response to chemical.positive regulation of RNA biosynthetic process.response to stimulus.positive regulation of cellular process.nucleic acid metabolic process.biosynthetic process
C2	Zm00001eb034780		
C2	Zm00001eb034790		
C3	Zm00001eb080870	Zm00001eb080860	cell wall organization or biogenesis.cell wall organization.cellular component organization.regulation of molecular function.pectin catabolic process.mucilage pectin biosynthetic process.anatomical structure morphogenesis.biosynthetic process.negative regulation of molecular function.biological regulation
C3	Zm00001eb080860	Known	mucilage pectin biosynthetic process.pectinesterase inhibitor activity.regulation of metabolic process.anatomical structure morphogenesis.cellular developmental process.Unknown.pectin catabolic process.membrane.cell wall modification.plant-type cell wall.mucilage metabolic process involved in seed coat development.negative regulation of catalytic activity.pectinesterase activity
C4	Zm00001eb105010	Known	retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum.positive regulation of macromolecule metabolic process.membrane.Golgi membrane.ATPase-coupled intramembrane lipid transporter activity.vacuole organization.signal transduction.phospholipid translocation.ATP binding.lipoprotein biosynthetic process.endosome.peptidyl-amino acid modification.endocytosis.embryo development.magnesium ion binding
C4	Zm00001eb200040	Known	secondary metabolic process.amino acid metabolic process.membrane.Unknown.acyltransferase activity, transferring groups other than amino-acyl groups.small molecule biosynthetic process.Unknown
