Community	Unknown	Annotated	Functions
C0	Zm00001eb298470	Zm00001eb185770.Zm00001eb064550.Zm00001eb378980	
C0	Zm00001eb326000	Known	lipid metabolic process.triacylglycerol lipase activity.macromolecule metabolic process.cellular process.membrane.biological regulation.Unknown.binding
C0	Zm00001eb372410	Known	Unknown.chromosome organization.protein methylation.Unknown.Unknown.gene expression.oxidoreductase activity.Unknown.iron ion binding.membrane.RNA biosynthetic process.Cul3-RING ubiquitin ligase complex.fatty acid biosynthetic process.calcium-dependent phospholipid binding
C0	Zm00001eb239990	Zm00001eb047780.Zm00001eb356910.Zm00001eb067710.Zm00001eb332050.Zm00001eb000850.Zm00001eb321030.Zm00001eb111510	response to stimulus.catalytic activity.cellular process.biological_process.cellular anatomical structure.cellular_component.molecular_function.response to wounding.small molecule biosynthetic process.primary metabolic process
C0	Zm00001eb287520	Known	regulation of cyclin-dependent protein serine/threonine kinase activity.regulation of macromolecule biosynthetic process.protein kinase binding.nucleobase-containing compound metabolic process.stomatal lineage progression.cell cycle.phosphorylation.Unknown
C0	Zm00001eb141180	Zm00001eb141160.Zm00001eb279090.Zm00001eb314060.Zm00001eb123060	proximal/distal pattern formation.regionalization.macromolecule metabolic process.pattern specification process.metabolic process.cellular process.biological_process.cellular anatomical structure.cellular_component.molecular_function
C0	Zm00001eb359730	Known	carbohydrate phosphorylation.biosynthetic process.nucleus.nucleotide binding.ribokinase activity.D-ribose metabolic process.chloroplast stroma.plastid nucleoid.nucleoside metabolic process
C0	Zm00001eb256300	Known	establishment of localization.organelle organization.protein tyrosine phosphatase activity.cytoplasm.metabolic process.peptidyl-tyrosine dephosphorylation
C0	Zm00001eb127510	Zm00001eb325920.Zm00001eb100140.Zm00001eb096060.Zm00001eb260820.Zm00001eb249160	chloroplast envelope.plastid envelope.organelle envelope.lipid biosynthetic process.lipid metabolic process.glyceraldehyde-3-phosphate metabolic process.isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway.isopentenyl diphosphate metabolic process.isopentenyl diphosphate biosynthetic process.macromolecule metabolic process
C0	Zm00001eb395000	Known	cell surface receptor signaling pathway.cellular developmental process.chloroplast.phosphoric diester hydrolase activity.intracellular signal transduction.protein phosphorylation.regulation of signal transduction.anatomical structure morphogenesis.guanosine tetraphosphate metabolic process.GTP diphosphokinase activity.guanosine-3',5'-bis(diphosphate) 3'-diphosphatase activity.amino acid binding.kinase activity.system development.regulation of metabolic process
C0	Zm00001eb039180		
C0	Zm00001eb334190	Known	protein dimerization activity.transcription by RNA polymerase II.nucleus.positive regulation of transcription by RNA polymerase II
C0	Zm00001eb355690	Zm00001eb000850.Zm00001eb237220.Zm00001eb087980.Zm00001eb237230.Zm00001eb413850	response to stimulus.extracellular region.cation binding.metal ion binding.binding.lactoylglutathione lyase activity.carbon-sulfur lyase activity.ion binding.response to stress.cellular process
C0	Zm00001eb321180	Zm00001eb375110.Zm00001eb079820.Zm00001eb104710.Zm00001eb394520.Zm00001eb151640.Zm00001eb327140.Zm00001eb257720.Zm00001eb079800	primary metabolic process.metabolic process.cellular process.biological_process.cellular anatomical structure.cellular_component.molecular_function.macromolecule metabolic process.cellular component organization.cellular component organization or biogenesis
C0	Zm00001eb108850	Zm00001eb394070.Zm00001eb313390.Zm00001eb006610.Zm00001eb229430.Zm00001eb406950	response to stimulus.response to nitrogen compound.small molecule metabolic process.metabolic process.cellular process.biological_process.cellular anatomical structure.cellular_component.molecular_function.monocarboxylic acid metabolic process
C0	Zm00001eb092620	Zm00001eb266600.Zm00001eb079420.Zm00001eb034260	intracellular monoatomic cation homeostasis.intracellular monoatomic ion homeostasis.intracellular chemical homeostasis.monoatomic cation homeostasis.monoatomic ion homeostasis.chemical homeostasis.cellular homeostasis.metal ion transport.homeostatic process.monoatomic ion transport
C0	Zm00001eb387440	Known	multicellular organism development.signal transduction.regulation of stomatal movement.protein phosphorylation.protein serine/threonine kinase activity.cytoplasm.ATP binding.metabolic process
C0	Zm00001eb435370	Zm00001eb353810	
C0	Zm00001eb088000	Zm00001eb087980.Zm00001eb174420.Zm00001eb305640	
C0	Zm00001eb353810	Known	plant-type cell wall organization.response to hypoxia.Unknown.glucose metabolic process.starch biosynthetic process.amyloplast.chloroplast.polysaccharide catabolic process.galactolipid biosynthetic process.alpha-1,4-glucan glucosyltransferase (UDP-glucose donor) activity.alpha-1,4-glucan glucosyltransferase (ADP-glucose donor) activity.alcohol metabolic process.glycogen metabolic process
C0	Zm00001eb283080	Known	plastid.nucleus.oxidoreductase activity, acting on NAD(P)H.protein dimerization activity.response to sucrose.electron transport chain.signal transduction.phosphorelay signal transduction system.response to fructose.phosphorelay sensor kinase activity
C0	Zm00001eb379200	Zm00001eb109110.Zm00001eb079420.Zm00001eb325920	
C0	Zm00001eb061960	Known	response to stimulus.chloroplast stroma.membrane.protein serine/threonine phosphatase activity.post-translational protein modification.protein dephosphorylation
C0	Zm00001eb192260	Zm00001eb069220.Zm00001eb075050.Zm00001eb397150.Zm00001eb097330.Zm00001eb082160.Zm00001eb190510	membrane-bounded organelle.intracellular membrane-bounded organelle.organelle.intracellular organelle.cellular process.intracellular vesicle.cytoplasmic vesicle.cellular anatomical structure.vesicle.cellular_component
C0	Zm00001eb370300	Zm00001eb278530.Zm00001eb386490.Zm00001eb222830.Zm00001eb376750.Zm00001eb287470	carbohydrate derivative biosynthetic process.primary metabolic process.metabolic process.cellular process.biological_process.cellular anatomical structure.cellular_component.molecular_function.carbohydrate derivative metabolic process.organophosphate metabolic process
C0	Zm00001eb440340	Zm00001eb435650	
C0	Zm00001eb044520	Zm00001eb046220.Zm00001eb394070.Zm00001eb389260.Zm00001eb389570.Zm00001eb331550.Zm00001eb433750.Zm00001eb197300.Zm00001eb268180.Zm00001eb066190	biological regulation.cellular process.biological_process.cellular anatomical structure.cellular_component.molecular_function.response to stimulus.membrane.phosphotransferase activity, alcohol group as acceptor.plasma membrane
C0	Zm00001eb034570	Zm00001eb034260.Zm00001eb174420.Zm00001eb312390.Zm00001eb237220.Zm00001eb237230	chloroplast stroma.plastid stroma.lactoylglutathione lyase activity.carbon-sulfur lyase activity.ketone metabolic process.primary metabolic process.small molecule metabolic process.metabolic process.cellular process.biological_process
C0	Zm00001eb440980		
C0	Zm00001eb294000	Zm00001eb341680.Zm00001eb403060.Zm00001eb251290	
C0	Zm00001eb354950	Zm00001eb362540.Zm00001eb081330.Zm00001eb177450.Zm00001eb014120.Zm00001eb115120	membrane.catalytic activity.primary metabolic process.metabolic process.cellular process.biological_process.cellular anatomical structure.cellular_component.molecular_function.intracellular anatomical structure
C0	Zm00001eb184240	Known	cytoplasmic vesicle.phagophore assembly site.carbohydrate metabolic process.autophagy.autophagosome.cellulase activity.cellular response to stress.Unknown.response to starvation
C0	Zm00001eb079420	Known	maltose metabolic process.mRNA modification.starch biosynthetic process.methylation.methyltransferase activity.cytoplasm.small molecule metabolic process
C0	Zm00001eb225720	Zm00001eb313400.Zm00001eb074280.Zm00001eb251290	
C0	Zm00001eb084080	Known	DNA binding.protein dimerization activity.cellular component biogenesis.membrane.DNA-templated transcription.DNA-directed RNA polymerase activity
C0	Zm00001eb147900	Zm00001eb101480.Zm00001eb410890.Zm00001eb247500.Zm00001eb171440.Zm00001eb360560.Zm00001eb244510	protein metabolic process.catalytic activity.primary metabolic process.metabolic process.ribonucleoside diphosphate metabolic process.purine ribonucleoside diphosphate metabolic process.nucleoside diphosphate metabolic process.purine nucleoside diphosphate metabolic process.cellular process.cellular anatomical structure
C0	Zm00001eb435170		
C0	Zm00001eb003000	Known	protein dephosphorylation.regulation of cellular process.plasma membrane.protein serine/threonine phosphatase activity.metal ion binding.post-translational protein modification.response to stress.membrane.metabolic process
C0	Zm00001eb105910	Zm00001eb210730.Zm00001eb287770.Zm00001eb109110.Zm00001eb079420.Zm00001eb393560.Zm00001eb151640.Zm00001eb353810	catalytic activity.metabolic process.cellular process.biological_process.cellular anatomical structure.cellular_component.molecular_function.biosynthetic process.macromolecule metabolic process.primary metabolic process
C0	Zm00001eb101130	Known	gibberellic acid mediated signaling pathway.response to water deprivation.embryo development ending in seed dormancy.positive regulation of DNA-templated transcription.gibberellin biosynthetic process.membrane.response to abscisic acid.DNA binding.nucleus.cellular localization.response to xenobiotic stimulus.seed dormancy process.seed germination.DNA-templated transcription.monocarboxylic acid metabolic process
C0	Zm00001eb276960	Known	translation.structural constituent of ribosome.protein transport.large ribosomal subunit
C0	Zm00001eb442430	Zm00001eb129010.Zm00001eb330460.Zm00001eb151750.Zm00001eb271860.Zm00001eb209360.Zm00001eb312390	metabolic process.cellular process.biological_process.cellular anatomical structure.organelle membrane.cellular_component.plastid thylakoid membrane.chloroplast thylakoid membrane.thylakoid membrane.photosynthetic membrane
C0	Zm00001eb349200	Known	DNA transposition.membrane.transferase activity.DNA binding.chloroplast.transposase activity.methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione.cell redox homeostasis.zinc ion binding.Unknown
C0	Zm00001eb179850		
C0	Zm00001eb014120	Known	response to stimulus.cell growth.hydrolase activity, hydrolyzing O-glycosyl compounds.polysaccharide binding.Unknown.primary metabolic process.membrane.Unknown.cellulose microfibril organization.system development
C0	Zm00001eb070570	Known	ketone metabolic process.amine metabolic process.chloroplast.L-histidine biosynthetic process.imidazoleglycerol-phosphate dehydratase activity.amine biosynthetic process
C0	Zm00001eb214610	Zm00001eb004030.Zm00001eb410890.Zm00001eb162410	protein deneddylation.mitotic cell cycle.mitotic G2 phase.G2 phase.photomorphogenesis.protein modification by small protein removal.cell cycle.cell cycle phase.biological phase.response to red or far red light
C0	Zm00001eb334320	Known	lipid metabolic process.Unknown.developmental process.chloroplast.singlet oxygen-mediated programmed cell death.response to iron ion.zinc ion binding.thylakoid membrane
C0	Zm00001eb382830	Zm00001eb260820.Zm00001eb403780.Zm00001eb330460.Zm00001eb209360	cis-trans isomerase activity
C0	Zm00001eb369540	Known	Unknown.response to arsenic-containing substance.cytokinin-activated signaling pathway.nucleus.intracellular signal transduction.protein phosphorylation.protein serine/threonine kinase activity.transition metal ion transport.cytosol.regulation of DNA-templated transcription.DNA-templated transcription.binding
C0	Zm00001eb111630	Known	cell adhesion.epidermal cell differentiation.trichome morphogenesis.phenylpropanoid metabolic process.animal organ development.anatomical structure formation involved in morphogenesis.DNA-templated transcription.response to stimulus.mediator complex.regulation of phenylpropanoid metabolic process.regulation of cell communication.cell wall organization.root hair cell differentiation.actin nucleation.transferase activity.helicase activity.nucleotide binding.regulation of DNA-templated transcription.membrane
C0	Zm00001eb081810	Known	photosynthetic electron transport chain.Unknown.chloroplast membrane.oxidoreductase activity, acting on NAD(P)H.plasma membrane.response to light stimulus.response to stress.siderophore-iron import into cell.ferric-chelate reductase activity.membrane.iron ion transport.response to bacterium
C0	Zm00001eb425670	Zm00001eb331550.Zm00001eb153830.Zm00001eb194260.Zm00001eb014120.Zm00001eb064120.Zm00001eb403050	pyridine-containing compound catabolic process.purine nucleoside diphosphate catabolic process.purine ribonucleoside diphosphate catabolic process.pyridine nucleotide catabolic process.nucleoside diphosphate catabolic process.ADP metabolic process.ADP catabolic process.ribonucleoside diphosphate catabolic process.glycolytic process.ribonucleoside diphosphate metabolic process
C0	Zm00001eb205500	Known	cytosolic proteasome complex.TBP-class protein binding.proteasome-activating activity.positive regulation of RNA polymerase II transcription preinitiation complex assembly.plasma membrane.DNA damage response.Unknown.microtubule associated complex.proteasome regulatory particle, base subcomplex.ATP binding.nuclear proteasome complex
C0	Zm00001eb184160	Known	cytoplasmic vesicle.phagophore assembly site.carbohydrate metabolic process.nucleus.autophagosome assembly.autophagosome.cellulase activity.cellular response to stress.Unknown.response to starvation
C0	Zm00001eb096000	Zm00001eb409600	
C0	Zm00001eb360230	Zm00001eb172140.Zm00001eb056340.Zm00001eb084350.Zm00001eb375110.Zm00001eb052650	plastid.catalytic activity.primary metabolic process.metabolic process.cellular process.biological_process.cellular anatomical structure.cellular_component.molecular_function.chloroplast
