Community	Target(unknown)	Annotated	Functions
C0	Zm00001eb321030	Known	cytosol.regulation of biological process.cellular response to chemical stimulus.RNA metabolic process.cytokinin biosynthetic process.nucleus.uracil DNA N-glycosylase activity
C0	Zm00001eb260820	Known	chloroplast envelope.cis-trans isomerase activity.negative regulation of biological process.chloroplast thylakoid.regulation of cellular process.iron ion binding.mRNA modification.secondary shoot formation.neuron development.strigolactone biosynthetic process.tissue development.animal organ development
C0	Zm00001eb160200	Known	membrane.ribosomal small subunit assembly.Unknown.epidermal cell differentiation.anatomical structure formation involved in morphogenesis.biological regulation.cell tip growth.actin cytoskeleton organization.GTP binding.plasma membrane.plant-type cell wall biogenesis.viral life cycle.GTPase activity.organelle membrane.endoplasmic reticulum to Golgi vesicle-mediated transport.endoplasmic reticulum membrane.root epidermal cell differentiation.animal organ development
C0	Zm00001eb406030	Known	Unknown.Unknown.regulation of DNA-templated transcription.sequence-specific DNA binding.Unknown.response to stress.response to biotic stimulus.DNA-binding transcription factor activity
C0	Zm00001eb105250		
C0	Zm00001eb055340	Zm00001eb055350.Zm00001eb072020	
C0	Zm00001eb003200	Zm00001eb325920.Zm00001eb079420.Zm00001eb327140	
C0	Zm00001eb366530	Zm00001eb006610	
C0	Zm00001eb149840	Known	cellular localization.anatomical structure development.regulation of DNA-templated transcription.immune system process.cellular component organization.transferase activity.defense response.protein phosphorylation.multicellular organismal process.membrane.cellular developmental process
C0	Zm00001eb084410	Known	chloroplast envelope.mitochondrion.protein localization to organelle.intracellular transport.vacuole.plasma membrane.Unknown.protein transmembrane transport.developmental process.protein transmembrane transporter activity.binding.membrane
C0	Zm00001eb423310	Known	membrane.starch biosynthetic process.multicellular organism development.nucleus.cellular component organization.maltose metabolic process.regulation of cellular process.chloroplast.isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway
C0	Zm00001eb181810		
C0	Zm00001eb435340		
C0	Zm00001eb408950	Known	mitochondrion.regulation of macromolecule biosynthetic process.positive regulation of cellular process.oxidoreductase activity.negative regulation of biological process.cell fate determination.response to stimulus.Unknown.microsporogenesis.regulation of nucleobase-containing compound metabolic process.anther wall tapetum cell fate specification.Unknown.binding.DNA-templated transcription.regulation of gene expression.membrane
C0	Zm00001eb238670	Known	phosphoenolpyruvate carboxylase activity.carbon fixation.response to cadmium ion.Golgi organization.response to fructose.chloroplast.response to temperature stimulus.response to nitrate.Unknown.protein tetramerization.cellular response to iron ion starvation.response to glucose.response to salt stress.biosynthetic process.photosynthesis.hyperosmotic response.nitrate transmembrane transport.phloem sucrose loading.oxaloacetate metabolic process.response to sucrose.Unknown.cellular response to phosphate starvation.acetyl-CoA catabolic process.cytosol.tricarboxylic acid cycle.regulation of cellular process.water transport.apoplast
C0	Zm00001eb072020	Known	response to chemical.Unknown.regulation of DNA-templated transcription.sequence-specific DNA binding.Unknown.response to stress.response to biotic stimulus.DNA-binding transcription factor activity
C0	Zm00001eb435190	Zm00001eb105270	
C0	Zm00001eb209430	Zm00001eb137750	
C0	Zm00001eb334920	Zm00001eb410890.Zm00001eb269050.Zm00001eb111660.Zm00001eb227460.Zm00001eb038010	membrane.multicellular organismal process.primary metabolic process.metabolic process.cellular process.biological_process.cellular anatomical structure.Golgi apparatus subcompartment.organelle subcompartment.cellular_component
C0	Zm00001eb268750	Known	response to misfolded protein.photorespiration.proteasome-mediated ubiquitin-dependent protein catabolic process.fatty acid beta-oxidation.proteasome core complex.response to salt stress.nucleus.toxin catabolic process.cytoplasm.response to cadmium ion.biological regulation.proteasome core complex assembly.glycolytic process.gluconeogenesis.threonine-type endopeptidase activity
C0	Zm00001eb229720	Known	mitochondrion.RNA binding.cellular process.biological regulation.nucleoplasm.membrane.nucleolus.Unknown.7-dehydrocholesterol reductase activity.multicellular organismal process
C0	Zm00001eb230760	Zm00001eb257720.Zm00001eb193650.Zm00001eb259480.Zm00001eb031790.Zm00001eb406060.Zm00001eb096060.Zm00001eb375110.Zm00001eb208940.Zm00001eb249160	primary metabolic process.metabolic process.cellular process.phospholipid metabolic process.biological_process.cellular anatomical structure.cellular_component.isopentenyl diphosphate biosynthetic process.isopentenyl diphosphate metabolic process.isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway
C0	Zm00001eb359100	Known	N-terminal protein amino acid modification.peptidyl-methionine modification.mitochondrion.translation.chloroplast stroma.co-translational protein modification.iron ion binding.peptide deformylase activity.isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway.thylakoid membrane organization
C0	Zm00001eb209110	Zm00001eb216160.Zm00001eb206250.Zm00001eb039390.Zm00001eb102960	primary metabolic process.metabolic process.cellular process.biological_process.macromolecule biosynthetic process.cellular anatomical structure.cellular_component.binding.nucleic acid binding.molecular_function
C0	Zm00001eb144790	Zm00001eb038930.Zm00001eb081810	
C0	Zm00001eb062810	Known	heat shock protein binding.cytosol.DNA replication.protein metabolic process.zinc ion binding.biological regulation.response to heat.metabolic process.unfolded protein binding.ATP binding.chloroplast.membrane.protein folding.multicellular organismal process
C0	Zm00001eb438290		
C0	Zm00001eb441810	Zm00001eb380730	
C0	Zm00001eb075580	Known	membrane.anatomical structure formation involved in morphogenesis.response to fructose.chloroplast.anthocyanin accumulation in tissues in response to UV light.cell wall organization.Golgi apparatus.animal organ development.response to glucose.Unknown.electron transport chain.oxidoreductase activity.polysaccharide biosynthetic process.response to sucrose.regulation of hormone levels.root hair elongation.multidimensional cell growth.epidermal cell differentiation.cell tip growth.metal ion binding.cysteine biosynthetic process.vacuolar membrane
C0	Zm00001eb151700	Zm00001eb096860.Zm00001eb403060.Zm00001eb246410.Zm00001eb102050.Zm00001eb295820	biological regulation.histone modifying activity.cellular component organization.cellular component organization or biogenesis.primary metabolic process.metabolic process.chromatin organization.cellular process.biological_process.cellular anatomical structure
C0	Zm00001eb256300	Known	organelle organization.cytoplasm.metabolic process.establishment of localization.protein tyrosine phosphatase activity.peptidyl-tyrosine dephosphorylation
C0	Zm00001eb068470	Zm00001eb243170	
C0	Zm00001eb061960	Known	post-translational protein modification.protein dephosphorylation.protein serine/threonine phosphatase activity.response to stimulus.chloroplast stroma.membrane
C0	Zm00001eb153650	Known	phosphogluconate dehydrogenase (decarboxylating) activity.mitochondrion.cytosol.NAD binding.Unknown.NADPH regeneration.3-hydroxyisobutyrate dehydrogenase activity.valine metabolic process.2-hydroxy-3-oxopropionate reductase activity.pentose-phosphate shunt.ketone metabolic process.glucose catabolic process
