Community	Unknown	Annotated	Functions
C0	Zm00001eb096120	Zm00001eb096110.Zm00001eb320580.Zm00001eb406860.Zm00001eb013730.Zm00001eb330600.Zm00001eb103760	cellular process.biological_process.cellular anatomical structure.cellular_component.molecular_function.response to stimulus.membrane
C0	Zm00001eb012060	Known	cytosol.Unknown.mRNA modification.tropine dehydrogenase activity.purine nucleobase transport.small molecule metabolic process.membrane.photosynthesis.Unknown
C0	Zm00001eb413750	Known	developmental process.multicellular organismal process.metabolic process.killing of cells of another organism.cellular component organization.peptidase activity.defense response to fungus
C0	Zm00001eb237020	Known	mitochondrion.metabolic process.ubiquitin-dependent protein catabolic process.protein ubiquitination.acid-amino acid ligase activity.zinc ion binding.nucleus.multicellular organism development.regulation of cellular process.ubiquitin-protein transferase activity
C0	Zm00001eb124170	Known	positive regulation of flavonoid biosynthetic process.regulation of phenylpropanoid metabolic process.lignin biosynthetic process.monocarboxylic acid metabolic process.small molecule biosynthetic process.Unknown.RNA modification.shikimate O-hydroxycinnamoyltransferase activity.quinate O-hydroxycinnamoyltransferase activity.intracellular membrane-bounded organelle.positive regulation of secondary metabolite biosynthetic process.Unknown.shoot system development
C0	Zm00001eb072390	Zm00001eb103580.Zm00001eb330830.Zm00001eb360250.Zm00001eb256970.Zm00001eb081090	glycine catabolic process.glycine metabolic process.regulation of cellular process.serine family amino acid catabolic process.regulation of biological process.isopentenyl diphosphate metabolic process.glyceraldehyde-3-phosphate metabolic process.isopentenyl diphosphate biosynthetic process.isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway.biological regulation
C0	Zm00001eb085860	Known	developmental process.cytoplasm.intracellular signal transduction.glycosyltransferase activity.cyclic nucleotide biosynthetic process.membrane.sensory perception of sound.phospholipase activity
C0	Zm00001eb040310	Known	oxylipin biosynthetic process.stamen development.hyperosmotic salinity response.abscisic acid-activated signaling pathway.Unknown.response to ethylene.peroxisome.response to auxin.12-oxophytodienoate reductase activity.response to wounding.Unknown.jasmonic acid mediated signaling pathway.response to ozone.response to water deprivation.Unknown.FMN binding.jasmonic acid biosynthetic process.indoleacetic acid biosynthetic process.cytosol.L-tryptophan catabolic process.response to fungus
C0	Zm00001eb008470	Known	plasma membrane.signaling.GTP binding.system development.DNA binding.membrane.nucleus.regulation of DNA-templated transcription.response to stimulus.DNA-templated transcription
C0	Zm00001eb278480	Known	regulation of biological process.phosphoric ester hydrolase activity.multicellular organismal process.membrane.vacuole organization.phosphatidylinositol-3-phosphate biosynthetic process.vacuole
C0	Zm00001eb246180	Known	proteolysis.metal ion binding.ESCRT III complex.secretion by cell.determination of adult lifespan.protein catabolic process.plasma membrane.oxidoreductase activity.late endosome to vacuole transport.positive regulation of growth rate.body morphogenesis.vesicle-mediated transport.protein transport.nematode larval development.intracellular transport.late endosome.cytosol.intracellular membrane-bounded organelle.growth
C0	Zm00001eb006800	Known	cytosol.anthocyanin-containing compound biosynthetic process.primary metabolic process.quercetin 3-O-glucosyltransferase activity.flavonol 3-O-glucosyltransferase activity.intracellular membrane-bounded organelle.anthocyanidin 3-O-glucosyltransferase activity.phenylpropanoid biosynthetic process.response to chemical.Unknown
C0	Zm00001eb389650	Zm00001eb206030.Zm00001eb422350.Zm00001eb321980.Zm00001eb167320.Zm00001eb305750.Zm00001eb103580.Zm00001eb170240.Zm00001eb328410	establishment of localization.localization.cellular component organization.cellular component organization or biogenesis.cellular process.biological_process.cellular anatomical structure.cellular_component.transport.response to stimulus
C0	Zm00001eb253470	Known	response to salt stress.protein homodimerization activity.chlorophyll catabolic process.cell differentiation.nitrate transmembrane transport.animal organ morphogenesis.leaf morphogenesis.transcription cis-regulatory region binding.nucleus.response to blue light.positive regulation of DNA-templated transcription.anatomical structure formation involved in morphogenesis.response to nitrate.DNA-templated transcription.DNA-binding transcription factor activity
C0	Zm00001eb116380	Known	response to endoplasmic reticulum stress.animal organ development.Golgi vesicle transport.endoplasmic reticulum membrane.iron ion binding.procollagen-proline 4-dioxygenase activity.root hair cell development.plasma membrane.vacuolar membrane.tube development.epidermal cell differentiation.Unknown.L-ascorbic acid binding.intracellular transport.anatomical structure formation involved in morphogenesis.peptidyl-proline hydroxylation to 4-hydroxy-L-proline.endosome.trans-Golgi network.systemic acquired resistance.monocarboxylic acid metabolic process.plant-type cell wall modification.membrane.pollen tube growth.nucleus
C0	Zm00001eb387510	Known	protein phosphatase regulator activity.cytosol.membrane.ubiquitin binding.nuclear membrane reassembly.Golgi organization.nucleus.membrane fusion.proteasome-mediated ubiquitin-dependent protein catabolic process.autophagosome assembly
