Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation
duf 1279 domain containing protein	0.00011617100371747211	1	5.9461516506516985e-05	5	True
glyoxylate hydroxypyruvate reductase hpr	0.0017425650557620818	15	0.00017838454951955095	15	True
glyoxylate hydroxypyruvate reductase b	0.00023234200743494423	2	8.324612310912378e-05	7	True
glyoxylate hydroxypyruvate reductase hpr protein	0.00023234200743494423	2	7.135381980782038e-05	6	True
alpha carbonic anhydrase 1	0.00046468401486988845	4	0.0004281229188469223	36	True
atp dependent 6 phosphofructokinase 4	0.00023234200743494423	2	0.0003091998858338883	26	False
triosephosphate isomerase cytosolic	0.0006970260223048327	6	0.0002616306726286747	22	True
phosphoglycerate kinase 1	0.0006970260223048327	6	0.0002497383693273713	21	True
2 3 independent phosphoglycerate mutase	0.0018587360594795538	16	0.0003091998858338883	26	True
2 3 bisphosphoglycerate independent phosphoglycerate mutase	0.00023234200743494423	2	0.00011892303301303397	10	True
alpha enolase	0.0012778810408921933	11	0.00015459994291694415	13	True
bifunctional enolase 2	0.00023234200743494423	2	7.135381980782038e-05	6	True
lactoylglutathione lyase	0.00046468401486988845	4	0.0002973075825325849	25	True
2 oxoglutarate dehydrogenase	0.00046468401486988845	4	0.00021406145942346114	18	True
succinate dehydrogenase [ubiquinone] flavoprotein subunit 1 mitochondrial	0.00046468401486988845	4	0.00021406145942346114	18	True
succinate dehydrogenase subunit 4 mitochondrial	0.00023234200743494423	2	3.567690990391019e-05	3	True
succinate dehydrogenase subunit 5 mitochondrial	0.00023234200743494423	2	4.756921320521359e-05	4	True
succinate dehydrogenase subunit 7 mitochondrial	0.00011617100371747211	1	2.3784606602606793e-05	2	True
faa hydrolase domain containing protein	0.0011617100371747212	10	0.0003329844924364951	28	True
nadh dehydrogenase [ubiquinone] flavoprotein 1 mitochondrial	0.00011617100371747211	1	3.567690990391019e-05	3	True
wrky domain containing protein	0.002904275092936803	25	0.00185519931500333	156	True
nadh alpha subcomplex subunit	0.00011617100371747211	1	2.3784606602606793e-05	2	True
nadh dehydrogenase [ubiquinone] alpha subcomplex subunit	0.0008131970260223048	7	0.00011892303301303397	10	True
nadh dehydrogenase [ubiquinone] alpha subcomplex subunit 13	0.00011617100371747211	1	5.9461516506516985e-05	5	True
transmembrane protein	0.0013940520446096654	12	0.000570830558462563	48	True
nadh ubiquinone reductase non electrogenic	0.00046468401486988845	4	0.00014270763961564075	12	True
mitochondrial brown fat uncoupling protein	0.0009293680297397769	8	0.0002735229759299781	23	True
cytochrome b c1 complex subunit 6 1	0.00011617100371747211	1	0.00010703072971173057	9	True
cytochrome b c1 complex subunit 7 1	0.00011617100371747211	1	4.756921320521359e-05	4	True
cytochrome c containing protein	0.00011617100371747211	1	5.9461516506516985e-05	5	True
sp ccme cytochrome c type biogenesis protein ccme	0.00011617100371747211	1	2.3784606602606793e-05	2	True
cytochrome c oxidase subunit 5b 1 mitochondrial	0.00011617100371747211	1	0.00010703072971173057	9	True
hig domain containing protein	0.00011617100371747211	1	8.324612310912378e-05	7	True
gibze protoheme ix farnesyltransferase mitochondrial	0.00023234200743494423	2	3.567690990391019e-05	3	True
cytochrome c oxidase assembly protein cox	0.00011617100371747211	1	3.567690990391019e-05	3	True
surf protein	0.00011617100371747211	1	4.756921320521359e-05	4	True
dead box atp dependent rna helicase	0.001045539033457249	9	0.0007848920178860242	66	True
phosphoglucomutase alpha d glucose bisphosphate dependent	0.00034851301115241634	3	0.0002854152792312815	24	True
utp glucose phosphate uridylyltransferase	0.00023234200743494423	2	0.0002497383693273713	21	False
beta fructofuranosidase insoluble isoenzyme cwinv	0.00023234200743494423	2	0.00016649224621824755	14	True
sucrose synthase	0.00046468401486988845	4	0.0005589382551612597	47	False
hexokinase protein	0.00046468401486988845	4	0.0003686614023404053	31	True
glucose phosphate isomerase 1	0.00046468401486988845	4	9.513842641042717e-05	8	True
no annotation	0.06517193308550186	561	0.06807154409666064	5724	False
alpha amylase isozyme	0.00011617100371747211	1	0.00019027685282085435	16	False
beta amylase 1	0.00023234200743494423	2	0.0006659689848729902	56	False
pullulanase type alpha glucosidase	0.00034851301115241634	3	3.567690990391019e-05	3	True
alpha trehalose phosphate synthase [udp forming]	0.0015102230483271376	13	0.000570830558462563	48	True
alpha trehalose phosphate synthase	0.00023234200743494423	2	2.3784606602606793e-05	2	True
periplasmic trehalase	0.00023234200743494423	2	2.3784606602606793e-05	2	True
alpha trehalase	0.00023234200743494423	2	2.3784606602606793e-05	2	True
galactinol sucrose galactosyltransferase	0.001045539033457249	9	0.0002973075825325849	25	True
alpha galactosidase	0.0006970260223048327	6	0.0003924460089430121	33	True
haloacid dehalogenase hydrolase domain containing protein sgpp	0.00023234200743494423	2	7.135381980782038e-05	6	True
mevalonate galactokinase protein	0.00046468401486988845	4	0.00011892303301303397	10	True
6 phosphogluconolactonase 3	0.00023234200743494423	2	0.0002616306726286747	22	False
straw transaldolase	0.00023234200743494423	2	3.567690990391019e-05	3	True
ashgo phosphoenolpyruvate carboxykinase atp	0.00023234200743494423	2	0.00011892303301303397	10	True
alcohol dehydrogenase	0.00046468401486988845	4	0.00021406145942346114	18	True
mannose phosphate guanyltransferase beta	0.002091078066914498	18	0.0005351536485586529	45	True
mannose phosphate guanyltransferase alpha	0.0009293680297397769	8	9.513842641042717e-05	8	True
bifunctional fucokinase fucose pyrophosphorylase	0.00034851301115241634	3	3.567690990391019e-05	3	True
l fucokinase fucose pyrophosphorylase	0.00011617100371747211	1	1.1892303301303397e-05	1	True
ghmp kinases n domain containing protein	0.00046468401486988845	4	4.756921320521359e-05	4	True
udp sugar pyrophosphorylase	0.0011617100371747212	10	0.00021406145942346114	18	True
epimerase domain containing protein	0.0009293680297397769	8	0.000927599657501665	78	True
udp glucuronic acid decarboxylase	0.0011617100371747212	10	0.0004043383122443155	34	True
glcnac kinase	0.00023234200743494423	2	8.324612310912378e-05	7	True
amino acid n acetyltransferase	0.00034851301115241634	3	0.00015459994291694415	13	True
acetylglutamate kinase	0.0005808550185873606	5	7.135381980782038e-05	6	True
acetylornithine aminotransferase	0.0006970260223048327	6	7.135381980782038e-05	6	True
glutamate decarboxylase	0.00034851301115241634	3	0.00015459994291694415	13	True
delta 1 pyrroline carboxylate synthase	0.00023234200743494423	2	0.00023784606602606794	20	False
pyrroline carboxylate reductase 1	0.00046468401486988845	4	4.756921320521359e-05	4	True
histidinol phosphate aminotransferase 1	0.00023234200743494423	2	2.3784606602606793e-05	2	True
histidinol phosphatase	0.00011617100371747211	1	1.1892303301303397e-05	1	True
asparagine synthetase [glutamine hydrolyzing]	0.00034851301115241634	3	0.0002735229759299781	23	True
bifunctional aspartokinase homoserine dehydrogenase 1 chloroplastic	0.0006970260223048327	6	7.135381980782038e-05	6	True
ll diaminopimelate aminotransferase	0.0006970260223048327	6	0.00010703072971173057	9	True
diaminopimelate epimerase	0.0023234200743494425	20	0.0003329844924364951	28	True
cystathionine beta lyase chloroplastic	0.00034851301115241634	3	3.567690990391019e-05	3	True
litct methylthioribulose phosphate dehydratase	0.00046468401486988845	4	4.756921320521359e-05	4	True
enolase phosphatase e1	0.00023234200743494423	2	2.3784606602606793e-05	2	True
cystathionine beta lyase gamma synthase	0.00046468401486988845	4	4.756921320521359e-05	4	True
branched chain amino acid aminotransferase 1	0.0018587360594795538	16	0.0006183997716677766	52	True
quality protein 3 isopropylmalate dehydratase large subunit	0.0006970260223048327	6	0.00013081533631433735	11	True
3 isopropylmalate dehydratase large subunit	0.00023234200743494423	2	4.756921320521359e-05	4	True
o phosphoserine phosphohydrolase	0.0018587360594795538	16	0.00020216915612215775	17	True
o phosphoserine	0.00023234200743494423	2	2.3784606602606793e-05	2	True
shikimate dehydrogenase nadp +	0.0005808550185873606	5	0.00013081533631433735	11	True
chorismate mutase 1	0.00023234200743494423	2	0.00022595376272476454	19	True
prephenate arogenate dehydrogenase domain containing protein	0.00046468401486988845	4	7.135381980782038e-05	6	True
anthranilate synthase beta subunit 1 chloroplastic	0.00023234200743494423	2	0.00011892303301303397	10	True
tryptophan synthase beta chain 1	0.00046468401486988845	4	7.135381980782038e-05	6	True
succinate semialdehyde dehydrogenase mitochondrial	0.0011617100371747212	10	0.00011892303301303397	10	True
gag domain containing protein	0.0005808550185873606	5	5.9461516506516985e-05	5	True
alpha aminoadipic semialdehyde synthase mitochondrial	0.0009293680297397769	8	0.00010703072971173057	9	True
aldehyde dehydrogenase nad +	0.00023234200743494423	2	0.00010703072971173057	9	True
l threonine dehydratase biosynthetic	0.00023234200743494423	2	7.135381980782038e-05	6	True
l threonine dehydratase	0.00023234200743494423	2	7.135381980782038e-05	6	True
dihydrolipoyllysine residue acetyltransferase component of pyruvate dehydrogenase complex	0.0006970260223048327	6	0.0002616306726286747	22	True
short chain specific acyl coa dehydrogenase mitochondrial	0.0006970260223048327	6	0.00016649224621824755	14	True
3 hydroxyisobutyryl coa hydrolase protein 1 mitochondrial	0.00046468401486988845	4	0.0002616306726286747	22	True
baccr histidinol phosphate aminotransferase	0.00023234200743494423	2	7.135381980782038e-05	6	True
quality protein tyrosine dopa decarboxylase	0.00046468401486988845	4	0.00019027685282085435	16	True
n carbamoylputrescine amidase	0.00046468401486988845	4	4.756921320521359e-05	4	True
lysine ornithine decarboxylase	0.00023234200743494423	2	7.135381980782038e-05	6	True
spermidine synthase	0.00046468401486988845	4	0.0005113690419560461	43	False
amino oxidase domain containing protein	0.0013940520446096654	12	0.0004994767386547426	42	True
nadp dependent malic enzyme 4	0.0005808550185873606	5	0.0005589382551612597	47	True
dicdi pyruvate dehydrogenase e1 component subunit alpha	0.00046468401486988845	4	4.756921320521359e-05	4	True
3 oxoacyl [acyl carrier protein] synthase i	0.00011617100371747211	1	0.00014270763961564075	12	False
sp fabg 3 oxoacyl [acyl carrier protein] reductase fabg	0.0009293680297397769	8	0.00017838454951955095	15	True
enoyl [acyl carrier protein] reductase 1 mitochondrial	0.0009293680297397769	8	9.513842641042717e-05	8	True
3 ketoacyl coa synthase	0.0005808550185873606	5	0.0004756921320521359	40	True
nadh cytochrome b5 reductase	0.00034851301115241634	3	0.00010703072971173057	9	True
