v5 Gene Model ID	v4 Gene Model ID	v3 Gene Model ID	Gene Symbol	Full Name
Zm00001eb159020	Zm00001d044122	GRMZM2G026930	a1	anthocyaninless1
Zm00001eb229190	Zm00001d014914	GRMZM2G345717	a2	anthocyaninless2
Zm00001eb359030	Zm00001d011438	GRMZM2G013726	a4	anthocyaninless4
Zm00001eb137840	Zm00001d041711	GRMZM2G116204	abp1	auxin binding protein1
Zm00001eb410780	Zm00001d023904	GRMZM2G064371	abp4	auxin binding protein homolog4
Zm00001eb076960	Zm00001d002982	GRMZM2G035688	abph1	aberrant phyllotaxy1
Zm00001eb348450	Zm00001d010159	GRMZM2G126010	act1	actin1
Zm00001eb321460	Zm00001d021497	GRMZM2G117603	adf1	actin depolymerizing factor1
Zm00001eb056510	Zm00001d033931	GRMZM2G442658	adh1	alcohol dehydrogenase1
Zm00001eb168550	Zm00001d049059	GRMZM2G098346	adh2	alcohol dehydrogenase2
Zm00001eb242610	Zm00001d016684	GRMZM2G032628	ae1	amylose extender1
Zm00001eb297000	Zm00001d039133	GRMZM2G059037	afd1	absence of first division1
Zm00001eb297020	Zm00001d039133	GRMZM2G059037	afd1	absence of first division1
Zm00001eb297030	Zm00001d039133	GRMZM2G059037	afd1	absence of first division1
Zm00001eb170040	Zm00001d049239	GRMZM2G015295	ahh1	adenosyl homocysteine hydrolase1
Zm00001eb177530		GRMZM2G365423-GRMZM2G389303-GRMZM2G437977	akh1	aspartate kinase-homoserine dehydrogenase1
Zm00001eb097580	Zm00001d005535	GRMZM2G104546	akh2	aspartate kinase homoserine dehydrogenase2
Zm00001eb144240	Zm00001d042453	GRMZM2G057823	ald1	aldolase1
Zm00001eb218470	Zm00001d013659	GRMZM5G883855	am1	ameiotic1
Zm00001eb100790	Zm00001d005890	GRMZM2G138468	amya3	alpha amylase3
Zm00001eb323450	Zm00001d021702	GRMZM2G058310	amyb5	beta amylase5
Zm00001eb203670	Zm00001d053331	GRMZM2G039942	ane1	androgenic embryo1
Zm00001eb416250	Zm00001d024607	GRMZM2G372553	ane3	androgenic embryo3
Zm00001eb189380	Zm00001d051685	GRMZM2G135186	ant2	adenine nucleotide translocator2
Zm00001eb394580	Zm00001d047468	GRMZM2G448687	apt1	aberrant pollen transmission1
Zm00001eb260880	Zm00001d035087	GRMZM2G032315	arpp1a	acidic ribosomal protein P1a
Zm00001eb344440	Zm00001d009653	GRMZM2G119809	arpp2a	acidic ribosomal protein P2a
Zm00001eb139140	Zm00001d041882	GRMZM2G101020	atp1	ATPase1
Zm00001eb074320	Zm00001d000236	GRMZM2G172795	b1	colored plant1
Zm00001eb148990	Zm00001d042989	GRMZM2G397518	ba1	barren stalk1
Zm00001eb172830	Zm00001d049576	GRMZM2G152655	bap2	basal layer antifungal protein2
Zm00001eb330200	Zm00001d022488	GRMZM2G307119	bd1	branched silkless1
Zm00001eb250710	Zm00001d017614	GRMZM2G160565	bde1	bearded-ear1
Zm00001eb137490	Zm00001d041671	GRMZM2G175976	betl3	basal endosperm transfer layer3
Zm00001eb031760	Zm00001d031068	GRMZM2G171822	bif2	barren inflorescence2
Zm00001eb229930	Zm00001d014993	GRMZM2G114793	bip1	Binding protein homolog1
Zm00001eb234730	Zm00001d015618	GRMZM5G844562	bm1	brown midrib1
Zm00001eb259430		GRMZM5G842058	brk1	brick1
Zm00001eb029690	Zm00001d030786	GRMZM2G062788	bsd2	bundle sheath defective2
Zm00001eb235570	Zm00001d015746	GRMZM2G144081	bt1	brittle endosperm1
Zm00001eb176800	Zm00001d050032	GRMZM2G068506	bt2	brittle endosperm2
Zm00001eb165610	Zm00001d048709	GRMZM2G085381	bx1	benzoxazinless1
Zm00001eb165620	Zm00001d048710	GRMZM2G085661	bx2	benzoxazinone synthesis2
Zm00001eb165550	Zm00001d048702	GRMZM2G167549	bx3	benzoxazinone synthesis3
Zm00001eb165560	Zm00001d048703	GRMZM2G172491	bx4	benzoxazinone synthesis4
Zm00001eb165580	Zm00001d048705	GRMZM2G063756	bx5	benzoxazinone synthesis5
Zm00001eb374230	Zm00001d045055	GRMZM2G165390	bz1	bronze1
Zm00001eb048110	Zm00001d032969	GRMZM2G016241	bz2	bronze2
Zm00001eb373660	Zm00001d044975	GRMZM2G005066	c1	colored aleurone1
Zm00001eb198030	Zm00001d052673	GRMZM2G422750	c2	colorless2
Zm00001eb130860	Zm00001d040696	AC199526.5_FG003	caf2	crs2 associated factor2
Zm00001eb128040	Zm00001d040323	GRMZM2G067511	cal2	calmodulin2
Zm00001eb015200	Zm00001d028948	GRMZM2G152891	cal3	calmodulin3
Zm00001eb355420	Zm00001d011013	GRMZM2G056014	cap1	calcium pump1
Zm00001eb228570	Zm00001d014848	GRMZM2G088212	cat1	catalase1
Zm00001eb002510	Zm00001d027511	GRMZM2G090568	cat2	catalase2
Zm00001eb209570	Zm00001d054044	GRMZM2G079348	cat3	catalase3
Zm00001eb240700	Zm00001d016446	GRMZM2G098298	ccp1	cysteine protease1
Zm00001eb314220	Zm00001d020636	GRMZM2G038636	ccp2	cysteine protease2
Zm00001eb050280	Zm00001d033210	GRMZM2G364069	cdj2	chaperone DNA J2
Zm00001eb345740	Zm00001d009795	GRMZM2G112336	cesa1	cellulose synthase1
Zm00001eb283110	Zm00001d037636	GRMZM2G027723	cesa2	cellulose synthase2
Zm00001eb122750	Zm00001d039660	GRMZM2G039454	cesa3	cellulose synthase3
Zm00001eb061800	Zm00001d034553	GRMZM2G111642	cesa5	cellulose synthase5
Zm00001eb063800	Zm00001d034770	GRMZM2G113137	cesa6	cellulose synthase6
Zm00001eb306030	Zm00001d019507	GRMZM2G025231	cesa7	cellulose synthase7
Zm00001eb304560	Zm00001d019317	GRMZM2G177631	cesa8	cellulose synthase8
Zm00001eb095350	Zm00001d005250	GRMZM2G018241	cesa9	cellulose synthase9
Zm00001eb233020	Zm00001d015366	GRMZM2G026117	cf1	camouflage1
