Community	Unknown	Annotated	Functions
C0	Zm00001eb023380	Known	fatty acid biosynthetic process.chloroplast.thiolester hydrolase activity
C0	Zm00001eb129940	Known	chloroplast.peroxisome.cytosol.Unknown.leucoplast.Unknown.small molecule metabolic process.primary metabolic process.aldehyde dehydrogenase (NAD+) activity
C0	Zm00001eb333710		
C0	Zm00001eb411840		
C0	Zm00001eb165960	Zm00001eb419560	peptidyl-amino acid modification.peptidyl-proline modification.regulation of biological process.protein peptidyl-prolyl isomerization.organelle membrane.endoplasmic reticulum membrane.peptidyl-prolyl cis-trans isomerase activity.isomerase activity.macrolide binding.cis-trans isomerase activity
C0	Zm00001eb013280	Known	mitochondrion.acetyl-CoA catabolic process.isocitrate dehydrogenase (NAD+) activity.amine metabolic process.response to cytokinin.anatomical structure formation involved in morphogenesis.response to sucrose.chloroplast.ketone metabolic process.animal organ development.epidermal cell differentiation.response to misfolded protein.proteasome assembly.isocitrate metabolic process.magnesium ion binding.biosynthetic process.response to glucose.NAD binding.root hair elongation.tricarboxylic acid cycle.proteasome-mediated ubiquitin-dependent protein catabolic process.response to fructose
C0	Zm00001eb151290		
C0	Zm00001eb100940	Known	protein serine/threonine kinase activity.response to stimulus.ATP binding.multicellular organism development.protein phosphorylation.membrane
C0	Zm00001eb251840		
C0	Zm00001eb089210		
C0	Zm00001eb075980	Known	hydrolase activity.nucleoplasm.RNA biosynthetic process.nuclear envelope.localization.biological regulation.multicellular organismal process.cellular component organization.membrane
C0	Zm00001eb257830		
C0	Zm00001eb333720		
C0	Zm00001eb077560	Zm00001eb419560	peptidyl-amino acid modification.peptidyl-proline modification.regulation of biological process.protein peptidyl-prolyl isomerization.organelle membrane.endoplasmic reticulum membrane.peptidyl-prolyl cis-trans isomerase activity.isomerase activity.macrolide binding.cis-trans isomerase activity
C0	Zm00001eb271730		
C0	Zm00001eb240690		
C0	Zm00001eb241670	Known	metabolic process.endo-1,4-beta-xylanase activity.cell wall polysaccharide metabolic process.polysaccharide catabolic process.membrane
C0	Zm00001eb378560		
C0	Zm00001eb025930	Zm00001eb075980	macromolecule biosynthetic process.nucleic acid biosynthetic process.localization.RNA biosynthetic process.nucleobase-containing compound biosynthetic process.organelle envelope.nuclear envelope.nucleoplasm
C0	Zm00001eb138170	Zm00001eb023380.Zm00001eb013280	oxoacid metabolic process.carboxylic acid metabolic process.organic acid metabolic process.small molecule metabolic process.biosynthetic process.intracellular membrane-bounded organelle.chloroplast.plastid.membrane-bounded organelle.intracellular organelle
C0	Zm00001eb048410		
C0	Zm00001eb066730		
C0	Zm00001eb187710	Zm00001eb013280	tricarboxylic acid metabolic process.alcohol metabolic process.epidermal cell differentiation.developmental growth.acyl-CoA metabolic process.organophosphate catabolic process.tricarboxylic acid cycle.cell growth.growth.thioester metabolic process
C0	Zm00001eb072070		
C0	Zm00001eb191880		
C0	Zm00001eb126660		
C0	Zm00001eb219050	Zm00001eb013280.Zm00001eb023380	oxoacid metabolic process.carboxylic acid metabolic process.organic acid metabolic process.small molecule metabolic process.biosynthetic process.intracellular membrane-bounded organelle.chloroplast.plastid.membrane-bounded organelle.intracellular organelle
C0	Zm00001eb424170		
C0	Zm00001eb380360		
C0	Zm00001eb324120	Zm00001eb013280.Zm00001eb023380	oxoacid metabolic process.carboxylic acid metabolic process.organic acid metabolic process.small molecule metabolic process.biosynthetic process.intracellular membrane-bounded organelle.chloroplast.plastid.membrane-bounded organelle.intracellular organelle
C0	Zm00001eb363070		
C0	Zm00001eb425280		
C0	Zm00001eb161890	Known	mitochondrion.RNA modification.chloroplast.Unknown.RNA 5'-end processing.RNA binding.endonuclease activity.membrane
C0	Zm00001eb328940		
C0	Zm00001eb103860		
C0	Zm00001eb419560	Known	endoplasmic reticulum membrane.protein peptidyl-prolyl isomerization.response to stimulus.peptidyl-prolyl cis-trans isomerase activity.regulation of biological process.Unknown.FK506 binding.membrane
