name	full_name	type	species	synonyms
zmm1	Zea mays MADS1	Gene	Zea mays ssp. mays	{"MADS1","mpik21","mpik31","ov23","PZD00032","PZD00033","rs131175984","ss196417341","ucsd81b","ucsd81b(zag2)","Zea mays MADS1","zmm1","ZmMADS23","ZmMM1","ZmOV23"}
zmm14	Zea mays MADS14	Gene	Zea mays ssp. mays	{"csu320a","IDP7385","mads14","mads7","mads8","MADS-box transcription factor 1-like","MADS-transcription factor 14","Zea mays MADS14","zmm14"}
zmm15	Zea mays MADS-box 15	Gene	Zea mays ssp. mays	{"IDP6727 ","m15 protein","mads15","MADS-transcription factor 15","umc2036","Zea mays MADS-box 15","zmm15","ZmMADS15"}
zmm16	Zea mays MADS16	Gene	Zea mays ssp. mays	{"CL686_1a","IDP7285","mpik39b(myb)","PI/GLO ortholog","PISTILLATA/GLOBOSA ortholog","PZD00027","rs131175522","rs131175523","rs55623049 ","ss196415518","ss196415520","sterile tassel silky ear1","sts1","umc1730","Zea mays MADS16","zmm16","ZMM16","ZmMADS16"}
zmm17	zea mays MADS17	Gene	Zea mays ssp. mays	{"mads44","MADS-transcription factor 44","mpik40","zea mays MADS17","zmm17"}
zmm18	Zea mays MADS18	Gene	Zea mays ssp. mays	{"cl683_1","m18","mads18","MADS-box transcription factor 4","MADS-transcription factor 18","mpik41","Zea mays MADS18","zmm18","ZMM18"}
zmm2	Zea mays MADS2	Gene	Zea mays ssp. mays	{"AGAMOUS-like ","AGAMOUS-like protein","koln3(zmm2)","MADS35","TMZ1-7","ucsd78a","Zea mays MADS2","zmm2","ZmMADS35"}
zmm24	Zea mays MADS24	Gene	Zea mays ssp. mays	{"mads24","MADS-box transcription factor 34 ","pco154775","pco154775(92)","Zea mays MADS24","zmm24","ZmMADS24"}
zmm27	Zea mays MADS27	Gene	Zea mays ssp. mays	{"BRACE9-60","koln6a","koln6a(zmm7)","mads49","MADS-transcription factor 49","mpik27a(zmm7)","Zea mays MADS27","zmm27"}
zmm29	Zea mays MADS29	Gene	Zea mays ssp. mays	{"cl683_1","MADS-box transcription factor 4","mpik41","Zea mays MADS29","zmm29","ZMM29","ZmMADS29"}
zmm3	Zea mays MADS3	Gene	Zea mays ssp. mays	{"MADS5","MADS9 MADS-domain transcription factor","mpik25(zmm3)","rs131175926","ss196417109","Zea mays MADS3","zmm3"}
zmm31	Zea mays MADS31	Gene	Zea mays ssp. mays	{"csu137","csu137a(ap)","csu137a(mads)","csu137a(zap)","csu137(zap1)","csuh137","m31","Madsa ","mpik22b(zmm4)","putative MINICHROMOSOME MAINTENANCE1, AGAMOUS, DEFICIENS, and SERUM RESPONSE FACTOR (MADS)-box transcription factor","ucsd106c","umc374","Zea mays MADS31","zmm31","ZmMADS31"}
zmm4	Zea mays MADS4	Gene	Zea mays ssp. mays	{"Agamous-like MADS-box protein AGL8","csu137b(ap)","csu137b(mads)","m4 protein","mads4 (MADS-transcription factor 4)","Madsb","mpik22a","mpik22a(zmm4)","Zea mays MADS4","zmm4","ZMM4","ZmMADS4"}
zmm6	Zea mays MADS6	Gene	Zea mays ssp. mays	{"mpik23a","mpik23a(zmm6)","Zea mays MADS6","zmm6","ZmMADS6"}
zmm7	Zea mays MADS7	Gene	Zea mays ssp. mays	{"Developmental protein SEPALLATA 2","IDP3960 ","koln6b(zmm7)","MADS4 MADS-domain transcription factor 4","mads7","MADS-transcription factor 7","mk27","mpik27b","mpik27b(zmm7)","PZD00054","rs128285102","ss196416660","Zea mays MADS7","zmm7"}
